date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Amazon mp3,Amazon dvd,Amazon india,Amazon music,Price
1/1/07,66,0,0,25,0,0,65,50,100,21,78,49.119999
1/2/07,59,0,0,58,0,52,81,72,78,13,53,50.09
1/3/07,59,0,0,16,0,0,81,65,91,0,57,52.889999
1/4/07,59,44,17,59,0,0,89,45,68,12,65,54.150002
1/5/07,58,0,0,18,100,0,89,53,77,0,100,54.91
1/6/07,58,0,0,73,0,0,75,51,75,33,73,55.700001
1/7/07,60,0,0,24,0,75,78,68,89,100,80,57.860001
1/8/07,63,44,0,33,0,51,77,43,65,12,51,58.060001
1/9/07,57,0,0,24,0,0,76,37,59,23,44,58.299999
1/10/07,57,84,0,32,45,100,87,55,61,35,60,59.91
1/11/07,56,0,100,51,0,0,80,43,71,23,46,58.549999
1/12/07,57,0,9,18,0,0,92,45,55,25,58,59.91
1/13/07,58,0,0,96,0,0,75,64,79,0,83,59.689999
1/14/07,61,0,78,47,0,0,69,63,82,49,76,59.59
1/15/07,65,0,49,16,0,49,71,57,67,23,57,59.349998
1/16/07,59,0,24,40,0,49,86,17,52,46,63,54.029999
1/17/07,59,0,0,24,0,50,91,37,59,11,62,54.32
1/18/07,57,0,0,33,0,0,82,44,55,11,60,54.509998
1/19/07,56,0,9,17,48,0,85,37,56,25,75,54.82
1/20/07,59,0,0,24,0,0,80,69,69,32,88,56.73
1/21/07,61,0,0,80,0,0,61,81,79,16,68,56.689999
1/22/07,64,0,0,24,0,0,73,48,51,44,52,55.830002
1/23/07,60,0,0,48,0,50,86,46,56,11,55,54.43
1/24/07,60,0,8,32,0,0,86,56,69,11,50,56.740002
1/25/07,59,0,0,49,0,0,92,42,53,35,51,56.860001
1/26/07,57,0,0,35,0,0,82,42,55,12,63,56.740002
1/27/07,58,0,0,58,0,0,84,59,72,32,73,54.990002
1/28/07,60,0,0,34,0,0,69,78,81,31,91,54.310001
1/29/07,66,0,0,55,0,49,70,57,63,0,48,51.98
1/30/07,60,0,0,32,0,50,81,48,54,33,54,52.23
1/31/07,58,0,0,26,0,0,89,53,61,22,58,54.130001
2/1/07,59,84,8,49,0,50,87,47,47,23,51,54.799999
2/2/07,60,0,0,51,0,0,96,31,46,24,65,52.450001
2/3/07,58,0,0,23,0,71,82,69,77,0,69,50.360001
2/4/07,63,0,11,55,0,69,75,67,73,16,64,48.5
2/5/07,68,0,0,31,0,0,74,41,63,22,39,49.529999
2/6/07,62,0,0,61,0,0,80,35,53,22,60,48.849998
2/7/07,60,0,0,45,0,0,88,50,68,11,56,48.580002
2/8/07,58,0,0,47,0,0,84,55,55,11,65,51.330002
2/9/07,60,0,0,17,0,0,85,28,61,0,55,52.470001
2/10/07,62,0,0,66,0,0,76,50,62,16,85,52.959999
2/11/07,68,0,0,32,0,0,71,66,81,0,82,53.970001
2/12/07,76,0,0,38,0,0,65,49,60,0,56,54.650002
2/13/07,66,39,0,30,0,47,100,35,62,11,45,53.93
2/14/07,65,0,0,15,0,0,89,22,55,0,53,51.509998
2/15/07,63,0,0,78,0,0,92,45,60,11,46,51.799999
2/16/07,65,0,8,41,0,0,83,76,57,24,64,51.560001
2/17/07,68,0,0,100,0,0,91,63,70,33,61,51.080002
2/18/07,74,0,0,53,0,0,62,70,94,49,65,49.34
2/19/07,81,0,0,52,41,0,63,60,66,0,51,49.200001
2/20/07,72,0,0,60,42,0,80,40,53,0,60,50.799999
