Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,294.299988,303.339996,294.160004,302.859985,302.859985,3729600
2014-05-13,302.600006,305.600006,300.750000,304.640015,304.640015,3509900
2014-05-14,302.500000,304.640015,296.660004,297.619995,297.619995,3323300
2014-05-15,298.019989,299.200012,290.380005,295.190002,295.190002,4295100
2014-05-16,292.799988,298.880005,291.549988,297.700012,297.700012,3636800
2014-05-19,295.760010,299.000000,293.809998,296.760010,296.760010,2284200
2014-05-20,297.100006,304.459991,296.750000,301.190002,301.190002,4095700
2014-05-21,302.209991,305.959991,301.519989,305.010010,305.010010,3408800
2014-05-22,305.049988,308.540009,303.010010,304.910004,304.910004,2576800
2014-05-23,305.459991,312.350006,304.899994,312.239990,312.239990,3052900
2014-05-27,314.410004,314.630005,307.380005,310.820007,310.820007,4862100
2014-05-28,309.500000,313.820007,307.420013,310.160004,310.160004,2726000
2014-05-29,310.420013,314.869995,310.200012,313.779999,313.779999,2365500
2014-05-30,314.429993,314.649994,307.570007,312.549988,312.549988,4260200
2014-06-02,312.589996,312.600006,307.000000,308.839996,308.839996,2203400
2014-06-03,305.750000,307.920013,305.070007,307.190002,307.190002,2379200
2014-06-04,306.850006,309.500000,303.839996,306.779999,306.779999,2107100
2014-06-05,308.100006,327.940002,306.899994,323.570007,323.570007,7796700
2014-06-06,325.000000,330.880005,324.929993,329.670013,329.670013,5244000
2014-06-09,331.570007,333.000000,325.649994,327.500000,327.500000,3212200
2014-06-10,327.649994,335.500000,327.500000,332.410004,332.410004,3663400
2014-06-11,336.000000,340.720001,333.880005,335.200012,335.200012,4436800
2014-06-12,335.549988,335.549988,324.660004,325.910004,325.910004,4276300
2014-06-13,327.049988,329.299988,323.529999,326.269989,326.269989,2764800
2014-06-16,324.859985,328.690002,323.519989,327.619995,327.619995,2449800
2014-06-17,327.540009,331.339996,325.230011,325.619995,325.619995,2924100
2014-06-18,328.000000,335.750000,325.000000,334.380005,334.380005,6401500
2014-06-19,335.260010,338.899994,325.980011,327.000000,327.000000,5320600
2014-06-20,327.760010,328.220001,320.420013,324.200012,324.200012,6054000
2014-06-23,323.329987,327.549988,321.410004,327.239990,327.239990,2604800
2014-06-24,327.540009,329.730011,322.739990,324.160004,324.160004,2626600
2014-06-25,324.329987,328.149994,321.739990,327.440002,327.440002,2327800
2014-06-26,328.489990,328.649994,322.130005,325.690002,325.690002,2699500
2014-06-27,325.880005,326.519989,323.269989,324.570007,324.570007,2416200
2014-06-30,324.980011,326.980011,322.239990,324.779999,324.779999,2671300
2014-07-01,325.859985,333.200012,325.100006,332.390015,332.390015,3173600
2014-07-02,333.200012,336.760010,331.660004,332.850006,332.850006,2681300
2014-07-03,334.829987,338.299988,333.079987,337.489990,337.489990,1944300
2014-07-07,337.500000,337.549988,332.519989,333.549988,333.549988,2128900
2014-07-08,333.100006,333.739990,321.399994,323.809998,323.809998,4271600
2014-07-09,324.709991,330.200012,323.149994,329.970001,329.970001,3166100
2014-07-10,324.339996,329.980011,322.649994,327.920013,327.920013,2665000
2014-07-11,334.709991,347.000000,334.709991,346.200012,346.200012,8300800
2014-07-14,347.029999,355.769989,345.359985,355.320007,355.320007,5609900
2014-07-15,353.720001,355.589996,349.399994,354.440002,354.440002,4170900
2014-07-16,355.619995,359.320007,353.000000,355.899994,355.899994,3503600
2014-07-17,353.440002,356.959991,351.380005,352.450012,352.450012,3636000
2014-07-18,354.399994,359.679993,352.079987,358.660004,358.660004,3407400
2014-07-21,358.100006,361.709991,356.720001,359.760010,359.760010,2278400
2014-07-22,355.250000,362.929993,355.250000,360.839996,360.839996,2888900
2014-07-23,359.049988,360.630005,356.619995,358.140015,358.140015,2687300
2014-07-24,359.980011,364.850006,358.519989,358.609985,358.609985,7088700
2014-07-25,317.299988,324.869995,314.760010,324.010010,324.010010,17846500
2014-07-28,324.250000,324.820007,316.500000,320.410004,320.410004,5932000
2014-07-29,321.980011,322.899994,319.500000,320.000000,320.000000,2883800
2014-07-30,321.450012,322.730011,318.500000,322.510010,322.510010,3969000
2014-07-31,320.010010,320.679993,311.859985,312.989990,312.989990,5192000
2014-08-01,313.690002,315.829987,304.589996,307.059998,307.059998,7441500
2014-08-04,308.839996,316.179993,308.500000,313.649994,313.649994,4200900
2014-08-05,313.299988,314.549988,310.059998,312.320007,312.320007,2852100
2014-08-06,310.829987,315.779999,310.200012,313.890015,313.890015,2296900
2014-08-07,315.209991,315.880005,309.649994,311.450012,311.450012,2935600
2014-08-08,311.940002,317.320007,310.660004,316.799988,316.799988,2705900
2014-08-11,318.480011,320.380005,316.880005,318.329987,318.329987,2468600
2014-08-12,318.890015,321.309998,316.950012,319.320007,319.320007,1915800
2014-08-13,327.600006,331.720001,326.140015,326.279999,326.279999,4939100
2014-08-14,327.799988,334.089996,326.709991,333.209991,333.209991,3420400
2014-08-15,334.000000,335.000000,328.320007,333.630005,333.630005,3896700
2014-08-18,335.480011,337.799988,333.769989,334.529999,334.529999,2485400
2014-08-19,334.869995,335.809998,333.010010,335.130005,335.130005,1713800
2014-08-20,334.679993,337.160004,334.019989,335.779999,335.779999,1810500
2014-08-21,336.480011,336.579987,332.230011,332.910004,332.910004,1971100
2014-08-22,332.989990,334.079987,330.799988,331.589996,331.589996,2211200
2014-08-25,333.209991,336.769989,332.709991,334.019989,334.019989,1957700
