date,Amazon books
2007-01-01,52
2007-01-02,95
2007-01-03,89
2007-01-04,90
2007-01-05,58
2007-01-06,65
2007-01-07,71
2007-01-08,64
2007-01-09,100
2007-01-10,82
2007-01-11,67
2007-01-12,99
2007-01-13,100
2007-01-14,76
2007-01-15,88
2007-01-16,89
2007-01-17,96
2007-01-18,59
2007-01-19,69
2007-01-20,89
2007-01-21,83
2007-01-22,70
2007-01-23,84
2007-01-24,63
2007-01-25,80
2007-01-26,81
2007-01-27,79
2007-01-28,84
2007-01-29,75
2007-01-30,61
2007-01-31,51
2007-02-01,81
2007-02-02,79
2007-02-03,56
2007-02-04,70
2007-02-05,60
2007-02-06,63
2007-02-07,82
2007-02-08,76
2007-02-09,69
2007-02-10,86
2007-02-11,75
2007-02-12,58
2007-02-13,61
2007-02-14,69
2007-02-15,68
2007-02-16,65
2007-02-17,62
2007-02-18,71
2007-02-19,73
2007-02-20,74
2007-02-21,64
2007-02-22,81
2007-02-23,60
2007-02-24,64
2007-02-25,64
2007-02-26,71
2007-02-27,70
2007-02-28,86
2007-03-01,84
2007-03-02,61
2007-03-03,55
2007-03-04,51
2007-03-05,69
2007-03-06,80
2007-03-07,71
2007-03-08,70
2007-03-09,65
2007-03-10,68
2007-03-11,72
2007-03-12,77
2007-03-13,63
2007-03-14,65
2007-03-15,55
2007-03-16,57
2007-03-17,40
2007-03-18,52
2007-03-19,63
2007-03-20,44
2007-03-21,67
2007-03-22,57
2007-03-23,73
2007-03-24,56
2007-03-25,74
2007-03-26,62
2007-03-27,64
2007-03-28,70
2007-03-29,50
2007-03-30,81
2007-03-31,56
2008-01-01,82
2008-01-02,73
2008-01-03,84
2008-01-04,78
2008-01-05,76
2008-01-06,65
2008-01-07,100
2008-01-08,96
2008-01-09,87
2008-01-10,82
2008-01-11,80
2008-01-12,71
2008-01-13,79
2008-01-14,83
2008-01-15,76
2008-01-16,85
2008-01-17,76
2008-01-18,77
2008-01-19,72
2008-01-20,85
2008-01-21,72
2008-01-22,81
2008-01-23,89
2008-01-24,90
2008-01-25,75
2008-01-26,82
2008-01-27,75
2008-01-28,74
2008-01-29,81
2008-01-30,87
2008-01-31,63
2008-02-01,73
2008-02-02,58
2008-02-03,85
2008-02-04,72
2008-02-05,79
2008-02-06,79
2008-02-07,78
2008-02-08,84
2008-02-09,78
2008-02-10,73
2008-02-11,77
2008-02-12,63
2008-02-13,78
2008-02-14,72
2008-02-15,68
2008-02-16,70
2008-02-17,72
2008-02-18,71
2008-02-19,78
2008-02-20,82
2008-02-21,68
2008-02-22,70
2008-02-23,74
2008-02-24,69
2008-02-25,79
2008-02-26,70
2008-02-27,68
2008-02-28,59
2008-02-29,70
2008-03-01,58
2008-03-02,85
2008-03-03,75
2008-03-04,75
2008-03-05,71
2008-03-06,74
2008-03-07,76
2008-03-08,66
2008-03-09,84
2008-03-10,78
2008-03-11,84
2008-03-12,89
2008-03-13,76
2008-03-14,65
2008-03-15,74
2008-03-16,78
2008-03-17,68
2008-03-18,76
2008-03-19,78
2008-03-20,67
2008-03-21,68
2008-03-22,58
2008-03-23,59
2008-03-24,66
2008-03-25,70
2008-03-26,64
2008-03-27,69
2008-03-28,75
2008-03-29,58
2008-03-30,67
2008-03-31,77
2009-01-01,81
2009-01-02,93
2009-01-03,96
2009-01-04,100
2009-01-05,100
2009-01-06,85
2009-01-07,95
2009-01-08,91
2009-01-09,80
2009-01-10,92
2009-01-11,73
2009-01-12,95
2009-01-13,94
2009-01-14,83
2009-01-15,84
2009-01-16,74
2009-01-17,77
2009-01-18,88
2009-01-19,80
2009-01-20,81
2009-01-21,84
2009-01-22,91
2009-01-23,77
2009-01-24,85
2009-01-25,87
2009-01-26,76
2009-01-27,84
2009-01-28,81
2009-01-29,75
2009-01-30,73
2009-01-31,72
2009-02-01,69
2009-02-02,76
2009-02-03,87
2009-02-04,77
2009-02-05,76
2009-02-06,59
2009-02-07,74
2009-02-08,84
2009-02-09,81
2009-02-10,82
2009-02-11,68
2009-02-12,68
2009-02-13,68
2009-02-14,80
2009-02-15,78
2009-02-16,78
2009-02-17,72
2009-02-18,74
2009-02-19,69
2009-02-20,60
2009-02-21,61
2009-02-22,67
2009-02-23,79
2009-02-24,76
2009-02-25,79
2009-02-26,73
2009-02-27,61
2009-02-28,81
2009-03-01,70
2009-03-02,69
2009-03-03,66
2009-03-04,79
2009-03-05,71
2009-03-06,63
2009-03-07,67
2009-03-08,74
2009-03-09,83
2009-03-10,77
2009-03-11,80
2009-03-12,63
2009-03-13,69
2009-03-14,63
2009-03-15,65
2009-03-16,62
2009-03-17,72
2009-03-18,72
2009-03-19,60
2009-03-20,61
2009-03-21,75
2009-03-22,71
2009-03-23,77
2009-03-24,81
2009-03-25,75
2009-03-26,72
2009-03-27,64
2009-03-28,58
2009-03-29,70
2009-03-30,65
2009-03-31,62
2010-01-01,54
2010-01-02,56
2010-01-03,50
2010-01-04,61
2010-01-05,57
2010-01-06,52
2010-01-07,56
2010-01-08,48
2010-01-09,47
2010-01-10,57
2010-01-11,57
2010-01-12,57
2010-01-13,50
2010-01-14,54
2010-01-15,52
2010-01-16,51
2010-01-17,55
2010-01-18,43
2010-01-19,46
2010-01-20,55
2010-01-21,52
2010-01-22,67
2010-01-23,76
2010-01-24,90
2010-01-25,89
2010-01-26,89
2010-01-27,82
2010-01-28,87
2010-01-29,83
2010-01-30,84
2010-01-31,100
2010-02-01,83
2010-02-02,93
2010-02-03,82
2010-02-04,76
2010-02-05,72
2010-02-06,81
2010-02-07,79
2010-02-08,81
2010-02-09,81
2010-02-10,84
2010-02-11,68
2010-02-12,77
2010-02-13,61
2010-02-14,71
2010-02-15,80
2010-02-16,82
2010-02-17,71
2010-02-18,79
2010-02-19,76
2010-02-20,74
2010-02-21,77
2010-02-22,84
2010-02-23,77
2010-02-24,76
2010-02-25,81
2010-02-26,69
2010-02-27,72
2010-02-28,75
2010-03-01,77
2010-03-02,73
2010-03-03,75
2010-03-04,77
2010-03-05,70
2010-03-06,71
2010-03-07,72
2010-03-08,76
2010-03-09,73
2010-03-10,69
2010-03-11,74
2010-03-12,69
2010-03-13,85
2010-03-14,54
2010-03-15,57
2010-03-16,50
2010-03-17,52
2010-03-18,52
2010-03-19,47
2010-03-20,52
2010-03-21,51
2010-03-22,53
2010-03-23,47
2010-03-24,40
2010-03-25,49
2010-03-26,53
2010-03-27,45
2010-03-28,49
2010-03-29,48
2010-03-30,52
2010-03-31,49
2011-01-01,85
2011-01-02,96
2011-01-03,95
