date,Amazon music
2007-01-01,78
2007-01-02,53
2007-01-03,57
2007-01-04,65
2007-01-05,100
2007-01-06,73
2007-01-07,80
2007-01-08,51
2007-01-09,44
2007-01-10,60
2007-01-11,46
2007-01-12,58
2007-01-13,83
2007-01-14,76
2007-01-15,57
2007-01-16,63
2007-01-17,62
2007-01-18,60
2007-01-19,75
2007-01-20,88
2007-01-21,68
2007-01-22,52
2007-01-23,55
2007-01-24,50
2007-01-25,51
2007-01-26,63
2007-01-27,73
2007-01-28,91
2007-01-29,48
2007-01-30,54
2007-01-31,58
2007-02-01,51
2007-02-02,65
2007-02-03,69
2007-02-04,64
2007-02-05,39
2007-02-06,60
2007-02-07,56
2007-02-08,65
2007-02-09,55
2007-02-10,85
2007-02-11,82
2007-02-12,56
2007-02-13,45
2007-02-14,53
2007-02-15,46
2007-02-16,64
2007-02-17,61
2007-02-18,65
2007-02-19,51
2007-02-20,60
2007-02-21,62
2007-02-22,55
2007-02-23,50
2007-02-24,80
2007-02-25,80
2007-02-26,56
2007-02-27,47
2007-02-28,46
2007-03-01,69
2007-03-02,54
2007-03-03,70
2007-03-04,55
2007-03-05,58
2007-03-06,57
2007-03-07,58
2007-03-08,57
2007-03-09,46
2007-03-10,69
2007-03-11,80
2007-03-12,46
2007-03-13,62
2007-03-14,42
2007-03-15,54
2007-03-16,68
2007-03-17,76
2007-03-18,72
2007-03-19,52
2007-03-20,63
2007-03-21,59
2007-03-22,49
2007-03-23,66
2007-03-24,47
2007-03-25,78
2007-03-26,48
2007-03-27,54
2007-03-28,50
2007-03-29,51
2007-03-30,59
2007-03-31,86
2008-01-01,92
2008-01-02,81
2008-01-03,63
2008-01-04,77
2008-01-05,92
2008-01-06,84
2008-01-07,66
2008-01-08,74
2008-01-09,76
2008-01-10,75
2008-01-11,78
2008-01-12,91
2008-01-13,100
2008-01-14,70
2008-01-15,81
2008-01-16,62
2008-01-17,66
2008-01-18,64
2008-01-19,81
2008-01-20,79
2008-01-21,63
2008-01-22,59
2008-01-23,60
2008-01-24,79
2008-01-25,59
2008-01-26,85
2008-01-27,83
2008-01-28,87
2008-01-29,73
2008-01-30,73
2008-01-31,64
2008-02-01,63
2008-02-02,97
2008-02-03,66
2008-02-04,65
2008-02-05,81
2008-02-06,60
2008-02-07,69
2008-02-08,70
2008-02-09,80
2008-02-10,76
2008-02-11,73
2008-02-12,60
2008-02-13,61
2008-02-14,53
2008-02-15,69
2008-02-16,87
2008-02-17,76
2008-02-18,71
2008-02-19,70
2008-02-20,58
2008-02-21,57
2008-02-22,66
2008-02-23,81
2008-02-24,80
2008-02-25,61
2008-02-26,67
2008-02-27,60
2008-02-28,71
2008-02-29,60
2008-03-01,75
2008-03-02,81
2008-03-03,60
2008-03-04,63
2008-03-05,63
2008-03-06,59
2008-03-07,65
2008-03-08,76
2008-03-09,91
2008-03-10,64
2008-03-11,52
2008-03-12,68
2008-03-13,56
2008-03-14,73
2008-03-15,76
2008-03-16,91
2008-03-17,75
2008-03-18,69
2008-03-19,73
2008-03-20,61
2008-03-21,65
2008-03-22,83
2008-03-23,76
2008-03-24,82
2008-03-25,67
2008-03-26,58
2008-03-27,59
2008-03-28,73
2008-03-29,80
2008-03-30,79
2008-03-31,61
2009-01-01,87
2009-01-02,83
2009-01-03,87
2009-01-04,95
2009-01-05,74
2009-01-06,68
2009-01-07,72
2009-01-08,71
2009-01-09,74
2009-01-10,71
2009-01-11,95
2009-01-12,62
2009-01-13,68
2009-01-14,65
2009-01-15,64
2009-01-16,60
2009-01-17,85
2009-01-18,96
2009-01-19,70
2009-01-20,64
2009-01-21,52
2009-01-22,54
2009-01-23,74
2009-01-24,80
2009-01-25,100
2009-01-26,65
2009-01-27,59
2009-01-28,52
2009-01-29,55
2009-01-30,61
2009-01-31,78
2009-02-01,80
2009-02-02,60
2009-02-03,57
2009-02-04,59
2009-02-05,60
2009-02-06,63
2009-02-07,83
2009-02-08,71
2009-02-09,63
2009-02-10,60
2009-02-11,67
2009-02-12,57
2009-02-13,77
2009-02-14,64
2009-02-15,65
2009-02-16,67
2009-02-17,64
2009-02-18,62
2009-02-19,62
2009-02-20,61
2009-02-21,77
2009-02-22,76
2009-02-23,60
2009-02-24,60
2009-02-25,48
2009-02-26,54
2009-02-27,50
2009-02-28,71
2009-03-01,66
2009-03-02,58
2009-03-03,48
2009-03-04,49
2009-03-05,44
2009-03-06,64
2009-03-07,69
2009-03-08,76
2009-03-09,54
2009-03-10,53
2009-03-11,52
2009-03-12,47
2009-03-13,54
2009-03-14,72
2009-03-15,85
2009-03-16,48
2009-03-17,66
2009-03-18,55
2009-03-19,51
2009-03-20,56
2009-03-21,71
2009-03-22,78
2009-03-23,56
2009-03-24,55
2009-03-25,58
2009-03-26,55
2009-03-27,40
2009-03-28,68
2009-03-29,75
2009-03-30,69
2009-03-31,59
2010-01-01,86
2010-01-02,90
2010-01-03,80
2010-01-04,63
2010-01-05,69
2010-01-06,42
2010-01-07,55
2010-01-08,74
2010-01-09,55
2010-01-10,74
2010-01-11,71
2010-01-12,68
2010-01-13,59
2010-01-14,61
2010-01-15,74
2010-01-16,98
2010-01-17,70
2010-01-18,54
2010-01-19,61
2010-01-20,62
2010-01-21,50
2010-01-22,76
2010-01-23,87
2010-01-24,79
2010-01-25,59
2010-01-26,62
2010-01-27,77
2010-01-28,56
2010-01-29,60
2010-01-30,89
2010-01-31,85
2010-02-01,77
2010-02-02,74
2010-02-03,55
2010-02-04,61
2010-02-05,69
2010-02-06,76
2010-02-07,82
2010-02-08,57
2010-02-09,62
2010-02-10,62
2010-02-11,51
2010-02-12,63
2010-02-13,65
2010-02-14,100
2010-02-15,69
2010-02-16,49
2010-02-17,64
2010-02-18,60
2010-02-19,65
2010-02-20,76
2010-02-21,72
2010-02-22,63
2010-02-23,59
2010-02-24,62
2010-02-25,59
2010-02-26,47
2010-02-27,65
2010-02-28,71
2010-03-01,48
2010-03-02,61
2010-03-03,59
2010-03-04,55
2010-03-05,67
2010-03-06,64
2010-03-07,74
2010-03-08,58
2010-03-09,69
2010-03-10,55
2010-03-11,70
2010-03-12,62
2010-03-13,68
2010-03-14,72
2010-03-15,47
2010-03-16,64
2010-03-17,59
2010-03-18,60
2010-03-19,51
