"","Date","Value"
"1","10/2/06",25
"2","10/3/06",58
"3","10/4/06",16
"4","10/5/06",59
"5","10/6/06",18
"6","10/7/06",73
"7","10/8/06",24
"8","10/9/06",33
"9","10/10/06",24
"10","10/11/06",32
"11","10/12/06",51
"12","10/13/06",18
"13","10/14/06",96
"14","10/15/06",47
"15","10/16/06",16
"16","10/17/06",40
"17","10/18/06",24
"18","10/19/06",33
"19","10/20/06",17
"20","10/21/06",24
"21","10/22/06",80
"22","10/23/06",24
"23","10/24/06",48
"24","10/25/06",32
"25","10/26/06",49
"26","10/27/06",35
"27","10/28/06",58
"28","10/29/06",34
"29","10/30/06",55
"30","10/31/06",32
"31","11/1/06",26
"32","11/2/06",49
"33","11/3/06",51
"34","11/4/06",23
"35","11/5/06",55
"36","11/6/06",31
"37","11/7/06",61
"38","11/8/06",45
"39","11/9/06",47
"40","11/10/06",17
"41","11/11/06",66
"42","11/12/06",32
"43","11/13/06",38
"44","11/14/06",30
"45","11/15/06",15
"46","11/16/06",78
"47","11/17/06",41
"48","11/18/06",100
"49","11/19/06",53
"50","11/20/06",52
"51","11/21/06",60
"52","11/22/06",39
"53","11/23/06",78
"54","11/24/06",26
"55","11/25/06",22
"56","11/26/06",53
"57","11/27/06",51
"58","11/28/06",51
"59","11/29/06",37
"60","11/30/06",23
"61","12/1/06",32
"62","12/2/06",65
"63","12/3/06",21
"64","12/4/06",44
"65","12/5/06",59
"66","12/6/06",75
"67","12/7/06",31
"68","12/8/06",59
"69","12/9/06",55
"70","12/10/06",21
"71","12/11/06",66
"72","12/12/06",52
"73","12/13/06",82
"74","12/14/06",86
"75","12/15/06",17
"76","12/16/06",44
"77","12/17/06",44
"78","12/18/06",30
"79","12/19/06",63
"80","12/20/06",49
"81","12/21/06",25
"82","12/22/06",19
"83","12/23/06",61
"84","12/24/06",27
"85","12/25/06",54
"86","12/26/06",21
"87","12/27/06",54
"88","12/28/06",71
"89","12/29/06",38
"90","12/30/06",46
"91","12/31/06",52
"92","1/2/07",25
"93","1/3/07",46
"94","1/4/07",34
"95","1/5/07",60
"96","1/6/07",31
"97","1/7/07",31
"98","1/8/07",44
"99","1/9/07",64
"100","1/10/07",65
"101","1/11/07",33
"102","1/12/07",58
"103","1/13/07",61
"104","1/14/07",30
"105","1/15/07",65
"106","1/16/07",95
"107","1/17/07",53
"108","1/18/07",53
"109","1/19/07",46
"110","1/20/07",44
"111","1/21/07",87
"112","1/22/07",72
"113","1/23/07",41
"114","1/24/07",63
