"","Date","Value"
"1","10/2/06",0
"2","10/3/06",52
"3","10/4/06",0
"4","10/5/06",0
"5","10/6/06",0
"6","10/7/06",0
"7","10/8/06",75
"8","10/9/06",51
"9","10/10/06",0
"10","10/11/06",100
"11","10/12/06",0
"12","10/13/06",0
"13","10/14/06",0
"14","10/15/06",0
"15","10/16/06",49
"16","10/17/06",49
"17","10/18/06",50
"18","10/19/06",0
"19","10/20/06",0
"20","10/21/06",0
"21","10/22/06",0
"22","10/23/06",0
"23","10/24/06",50
"24","10/25/06",0
"25","10/26/06",0
"26","10/27/06",0
"27","10/28/06",0
"28","10/29/06",0
"29","10/30/06",49
"30","10/31/06",50
"31","11/1/06",0
"32","11/2/06",50
"33","11/3/06",0
"34","11/4/06",71
"35","11/5/06",69
"36","11/6/06",0
"37","11/7/06",0
"38","11/8/06",0
"39","11/9/06",0
"40","11/10/06",0
"41","11/11/06",0
"42","11/12/06",0
"43","11/13/06",0
"44","11/14/06",47
"45","11/15/06",0
"46","11/16/06",0
"47","11/17/06",0
"48","11/18/06",0
"49","11/19/06",0
"50","11/20/06",0
"51","11/21/06",0
"52","11/22/06",0
"53","11/23/06",0
"54","11/24/06",0
"55","11/25/06",0
"56","11/26/06",0
"57","11/27/06",46
"58","11/28/06",0
"59","11/29/06",0
"60","11/30/06",47
"61","12/1/06",51
"62","12/2/06",0
"63","12/3/06",0
"64","12/4/06",46
"65","12/5/06",0
"66","12/6/06",0
"67","12/7/06",0
"68","12/8/06",0
"69","12/9/06",0
"70","12/10/06",66
"71","12/11/06",0
"72","12/12/06",46
"73","12/13/06",0
"74","12/14/06",0
"75","12/15/06",0
"76","12/16/06",0
"77","12/17/06",68
"78","12/18/06",0
"79","12/19/06",97
"80","12/20/06",50
"81","12/21/06",52
"82","12/22/06",0
"83","12/23/06",0
"84","12/24/06",84
"85","12/25/06",0
"86","12/26/06",0
"87","12/27/06",55
"88","12/28/06",0
"89","12/29/06",0
"90","12/30/06",0
"91","12/31/06",0
"92","1/2/07",39
"93","1/3/07",38
"94","1/4/07",0
"95","1/5/07",38
"96","1/6/07",100
"97","1/7/07",0
"98","1/8/07",0
"99","1/9/07",34
"100","1/10/07",34
"101","1/11/07",0
"102","1/12/07",0
"103","1/13/07",0
"104","1/14/07",0
"105","1/15/07",0
"106","1/16/07",0
"107","1/17/07",0
"108","1/18/07",0
"109","1/19/07",36
"110","1/20/07",0
"111","1/21/07",0
"112","1/22/07",0
"113","1/23/07",66
"114","1/24/07",33
"115","1/25/07",34
"116","1/26/07",72
"117","1/27/07",0
"118","1/28/07",46
"119","1/29/07",0
"120","1/30/07",0
"121","1/31/07",0
"122","2/1/07",0
"123","2/2/07",0
"124","2/3/07",0
"125","2/4/07",0
"126","2/5/07",0
"127","2/6/07",0
"128","2/7/07",0
"129","2/8/07",33
"130","2/9/07",35
"131","2/10/07",46
"132","2/11/07",45
"133","2/12/07",32
"134","2/13/07",0
"135","2/14/07",33
"136","2/15/07",0
"137","2/16/07",0
"138","2/17/07",0
"139","2/18/07",0
"140","2/19/07",0
"141","2/20/07",0
"142","2/21/07",33
"143","2/22/07",0
"144","2/23/07",0
"145","2/24/07",0
"146","2/25/07",0
"147","2/26/07",32
"148","2/27/07",32
"149","2/28/07",0
"150","3/1/07",32
"151","3/2/07",0
"152","3/3/07",45
"153","3/4/07",0
"154","3/5/07",0
"155","3/6/07",31
"156","3/7/07",0
"157","3/8/07",0
"158","3/9/07",34
"159","3/10/07",45
"160","3/11/07",0
"161","3/12/07",0
"162","3/13/07",0
"163","3/14/07",0
"164","3/15/07",0
"165","3/16/07",0
"166","3/17/07",46
"167","3/18/07",0
"168","3/19/07",0
"169","3/20/07",0
"170","3/21/07",32
"171","3/22/07",0
"172","3/23/07",34
"173","3/24/07",0
"174","3/25/07",0
"175","3/26/07",31
"176","3/27/07",0
"177","3/28/07",0
"178","3/29/07",0
"179","3/30/07",0
"180","3/31/07",46
"181","4/2/07",0
"182","4/3/07",0
"183","4/4/07",0
"184","4/5/07",0
"185","4/6/07",0
"186","4/7/07",0
"187","4/8/07",0
"188","4/9/07",0
"189","4/10/07",0
"190","4/11/07",0
"191","4/12/07",0
"192","4/13/07",0
"193","4/14/07",0
"194","4/15/07",0
"195","4/16/07",0
"196","4/17/07",0
"197","4/18/07",36
"198","4/19/07",0
"199","4/20/07",0
"200","4/21/07",0
"201","4/22/07",0
"202","4/23/07",36
"203","4/24/07",0
"204","4/25/07",0
"205","4/26/07",0
"206","4/27/07",0
"207","4/28/07",0
"208","4/29/07",0
"209","4/30/07",39
"210","5/1/07",0
"211","5/2/07",0
"212","5/3/07",0
"213","5/4/07",0
"214","5/5/07",100
"215","5/6/07",0
"216","5/7/07",0
"217","5/8/07",0
"218","5/9/07",0
"219","5/10/07",34
"220","5/11/07",0
"221","5/12/07",0
"222","5/13/07",0
"223","5/14/07",33
"224","5/15/07",33
"225","5/16/07",0
"226","5/17/07",35
"227","5/18/07",0
"228","5/19/07",0
"229","5/20/07",0
"230","5/21/07",0
"231","5/22/07",0
"232","5/23/07",0
"233","5/24/07",0
"234","5/25/07",0
"235","5/26/07",100
"236","5/27/07",0
"237","5/28/07",0
"238","5/29/07",0
"239","5/30/07",0
"240","5/31/07",34
"241","6/1/07",36
"242","6/2/07",49
"243","6/3/07",0
"244","6/4/07",32
"245","6/5/07",32
"246","6/6/07",0
"247","6/7/07",35
"248","6/8/07",0
"249","6/9/07",50
"250","6/10/07",0
"251","6/11/07",33
"252","6/12/07",0
"253","6/13/07",33
"254","6/14/07",0
"255","6/15/07",0
"256","6/16/07",0
"257","6/17/07",0
"258","6/18/07",34
"259","6/19/07",0
"260","6/20/07",0
"261","6/21/07",0
"262","6/22/07",0
"263","6/23/07",50
"264","6/24/07",0
"265","6/25/07",0
"266","6/26/07",32
