date,Amazon uk
2007-01-01,100
2007-01-02,99
2007-01-03,87
2007-01-04,88
2007-01-05,78
2007-01-06,91
2007-01-07,94
2007-01-08,70
2007-01-09,73
2007-01-10,66
2007-01-11,76
2007-01-12,71
2007-01-13,80
2007-01-14,93
2007-01-15,84
2007-01-16,76
2007-01-17,75
2007-01-18,58
2007-01-19,60
2007-01-20,78
2007-01-21,86
2007-01-22,64
2007-01-23,60
2007-01-24,58
2007-01-25,72
2007-01-26,77
2007-01-27,70
2007-01-28,77
2007-01-29,78
2007-01-30,65
2007-01-31,53
2007-02-01,63
2007-02-02,69
2007-02-03,72
2007-02-04,83
2007-02-05,75
2007-02-06,67
2007-02-07,64
2007-02-08,61
2007-02-09,64
2007-02-10,77
2007-02-11,85
2007-02-12,59
2007-02-13,65
2007-02-14,57
2007-02-15,73
2007-02-16,74
2007-02-17,70
2007-02-18,71
2007-02-19,81
2007-02-20,69
2007-02-21,69
2007-02-22,68
2007-02-23,67
2007-02-24,76
2007-02-25,76
2007-02-26,65
2007-02-27,62
2007-02-28,68
2007-03-01,69
2007-03-02,70
2007-03-03,83
2007-03-04,89
2007-03-05,66
2007-03-06,62
2007-03-07,68
2007-03-08,63
2007-03-09,63
2007-03-10,63
2007-03-11,76
2007-03-12,72
2007-03-13,65
2007-03-14,64
2007-03-15,62
2007-03-16,58
2007-03-17,58
2007-03-18,79
2007-03-19,69
2007-03-20,60
2007-03-21,62
2007-03-22,62
2007-03-23,70
2007-03-24,78
2007-03-25,84
2007-03-26,53
2007-03-27,66
2007-03-28,63
2007-03-29,71
2007-03-30,57
2007-03-31,65
2008-01-01,100
2008-01-02,74
2008-01-03,72
2008-01-04,74
2008-01-05,75
2008-01-06,78
2008-01-07,70
2008-01-08,77
2008-01-09,64
2008-01-10,62
2008-01-11,66
2008-01-12,69
2008-01-13,90
2008-01-14,70
2008-01-15,64
2008-01-16,54
2008-01-17,54
2008-01-18,63
2008-01-19,69
2008-01-20,70
2008-01-21,60
2008-01-22,53
2008-01-23,51
2008-01-24,63
2008-01-25,66
2008-01-26,81
2008-01-27,71
2008-01-28,71
2008-01-29,61
2008-01-30,60
2008-01-31,62
2008-02-01,60
2008-02-02,67
2008-02-03,81
2008-02-04,63
2008-02-05,55
2008-02-06,62
2008-02-07,70
2008-02-08,60
2008-02-09,82
2008-02-10,74
2008-02-11,71
2008-02-12,64
2008-02-13,64
2008-02-14,56
2008-02-15,71
2008-02-16,75
2008-02-17,76
2008-02-18,57
2008-02-19,56
2008-02-20,50
2008-02-21,60
2008-02-22,56
2008-02-23,59
2008-02-24,69
2008-02-25,67
2008-02-26,59
2008-02-27,56
2008-02-28,49
2008-02-29,62
2008-03-01,73
2008-03-02,69
2008-03-03,67
2008-03-04,70
2008-03-05,54
2008-03-06,56
2008-03-07,60
2008-03-08,71
2008-03-09,83
2008-03-10,64
2008-03-11,64
2008-03-12,51
2008-03-13,58
2008-03-14,50
2008-03-15,78
2008-03-16,71
2008-03-17,55
2008-03-18,60
2008-03-19,57
2008-03-20,53
2008-03-21,63
2008-03-22,62
2008-03-23,64
2008-03-24,62
2008-03-25,68
2008-03-26,63
2008-03-27,60
2008-03-28,58
2008-03-29,59
2008-03-30,71
2008-03-31,57
2009-01-01,100
2009-01-02,90
2009-01-03,90
2009-01-04,95
2009-01-05,72
2009-01-06,68
2009-01-07,68
2009-01-08,70
2009-01-09,69
2009-01-10,73
2009-01-11,88
2009-01-12,64
2009-01-13,63
2009-01-14,69
2009-01-15,61
2009-01-16,57
2009-01-17,80
2009-01-18,86
2009-01-19,66
2009-01-20,61
2009-01-21,65
2009-01-22,57
2009-01-23,63
2009-01-24,79
2009-01-25,90
2009-01-26,73
2009-01-27,67
2009-01-28,62
2009-01-29,61
2009-01-30,62
2009-01-31,81
2009-02-01,93
2009-02-02,72
2009-02-03,60
2009-02-04,58
2009-02-05,73
2009-02-06,63
2009-02-07,66
2009-02-08,79
2009-02-09,68
2009-02-10,69
2009-02-11,56
2009-02-12,61
2009-02-13,57
2009-02-14,70
2009-02-15,74
2009-02-16,65
2009-02-17,61
2009-02-18,60
2009-02-19,58
2009-02-20,64
2009-02-21,77
2009-02-22,78
2009-02-23,57
2009-02-24,51
2009-02-25,62
2009-02-26,59
2009-02-27,56
2009-02-28,65
2009-03-01,70
2009-03-02,65
2009-03-03,59
2009-03-04,60
2009-03-05,59
2009-03-06,48
2009-03-07,69
2009-03-08,83
2009-03-09,55
2009-03-10,56
2009-03-11,58
2009-03-12,52
2009-03-13,55
2009-03-14,65
2009-03-15,69
2009-03-16,59
2009-03-17,58
2009-03-18,52
2009-03-19,52
2009-03-20,55
2009-03-21,60
2009-03-22,70
2009-03-23,55
2009-03-24,59
2009-03-25,56
2009-03-26,58
2009-03-27,61
2009-03-28,68
2009-03-29,69
2009-03-30,60
2009-03-31,61
2010-01-01,96
2010-01-02,100
2010-01-03,100
2010-01-04,92
2010-01-05,83
2010-01-06,83
2010-01-07,79
2010-01-08,81
2010-01-09,92
2010-01-10,97
2010-01-11,89
2010-01-12,81
2010-01-13,76
2010-01-14,78
2010-01-15,77
2010-01-16,89
2010-01-17,94
2010-01-18,81
2010-01-19,78
2010-01-20,75
2010-01-21,75
2010-01-22,72
2010-01-23,84
2010-01-24,82
2010-01-25,77
2010-01-26,75
2010-01-27,67
2010-01-28,70
2010-01-29,71
2010-01-30,81
2010-01-31,98
2010-02-01,74
2010-02-02,76
2010-02-03,77
2010-02-04,70
2010-02-05,70
2010-02-06,79
2010-02-07,96
2010-02-08,79
2010-02-09,73
2010-02-10,73
2010-02-11,71
2010-02-12,72
2010-02-13,77
2010-02-14,85
2010-02-15,86
2010-02-16,70
2010-02-17,69
2010-02-18,70
2010-02-19,64
2010-02-20,77
2010-02-21,89
2010-02-22,75
2010-02-23,70
2010-02-24,66
2010-02-25,69
2010-02-26,69
2010-02-27,84
2010-02-28,90
2010-03-01,74
2010-03-02,70
2010-03-03,68
2010-03-04,66
2010-03-05,64
2010-03-06,74
2010-03-07,86
2010-03-08,72
2010-03-09,74
2010-03-10,69
2010-03-11,64
2010-03-12,63
2010-03-13,70
2010-03-14,82
2010-03-15,67
2010-03-16,68
2010-03-17,66
2010-03-18,67
2010-03-19,64
2010-03-20,77
2010-03-21,79
2010-03-22,73
2010-03-23,70
2010-03-24,63
2010-03-25,68
2010-03-26,68
2010-03-27,76
2010-03-28,88
2010-03-29,77
2010-03-30,71
2010-03-31,65
2011-01-01,100
2011-01-02,97
2011-01-03,83
2011-01-04,83
2011-01-05,83
2011-01-06,79
2011-01-07,80
2011-01-08,81
2011-01-09,87
2011-01-10,77
2011-01-11,73
2011-01-12,75
2011-01-13,69
2011-01-14,73
2011-01-15,85
2011-01-16,93
2011-01-17,72
2011-01-18,68
2011-01-19,68
2011-01-20,72
2011-01-21,69
2011-01-22,74
2011-01-23,84
2011-01-24,69
2011-01-25,66
2011-01-26,69
2011-01-27,65
2011-01-28,70
2011-01-29,72
2011-01-30,80
2011-01-31,68
2011-02-01,69
2011-02-02,70
2011-02-03,72
2011-02-04,65
2011-02-05,80
2011-02-06,81
2011-02-07,71
2011-02-08,67
2011-02-09,65
2011-02-10,65
2011-02-11,64
2011-02-12,68
2011-02-13,82
2011-02-14,64
2011-02-15,64
2011-02-16,58
2011-02-17,60
2011-02-18,64
2011-02-19,72
2011-02-20,84
2011-02-21,71
2011-02-22,62
2011-02-23,65
2011-02-24,59
2011-02-25,64
2011-02-26,67
2011-02-27,81
2011-02-28,69
2011-03-01,66
2011-03-02,63
2011-03-03,66
2011-03-04,60
2011-03-05,75
2011-03-06,79
2011-03-07,72
2011-03-08,64
2011-03-09,63
2011-03-10,65
2011-03-11,56
2011-03-12,66
2011-03-13,71
2011-03-14,56
2011-03-15,64
2011-03-16,59
2011-03-17,60
2011-03-18,56
2011-03-19,62
2011-03-20,75
2011-03-21,66
2011-03-22,64
2011-03-23,60
2011-03-24,60
2011-03-25,61
2011-03-26,67
2011-03-27,70
2011-03-28,66
2011-03-29,69
2011-03-30,66
2011-03-31,66
2012-01-01,100
2012-01-02,95
2012-01-03,94
2012-01-04,90
2012-01-05,87
2012-01-06,84
2012-01-07,89
2012-01-08,99
2012-01-09,85
2012-01-10,79
2012-01-11,76
2012-01-12,77
2012-01-13,64
2012-01-14,75
2012-01-15,77
2012-01-16,50
2012-01-17,46
2012-01-18,44
2012-01-19,46
2012-01-20,45
2012-01-21,48
2012-01-22,58
2012-01-23,45
2012-01-24,45
2012-01-25,44
2012-01-26,43
2012-01-27,44
2012-01-28,49
2012-01-29,54
2012-01-30,48
2012-01-31,44
2012-02-01,45
2012-02-02,44
2012-02-03,43
2012-02-04,49
2012-02-05,52
2012-02-06,45
2012-02-07,44
2012-02-08,43
2012-02-09,42
2012-02-10,42
2012-02-11,50
2012-02-12,50
2012-02-13,41
2012-02-14,41
2012-02-15,41
2012-02-16,40
2012-02-17,41
2012-02-18,45
2012-02-19,50
2012-02-20,45
2012-02-21,41
2012-02-22,42
2012-02-23,49
2012-02-24,48
2012-02-25,51
2012-02-26,59
2012-02-27,73
2012-02-28,75
2012-02-29,73
2012-03-01,66
2012-03-02,69
2012-03-03,74
2012-03-04,88
2012-03-05,76
2012-03-06,72
2012-03-07,70
2012-03-08,70
2012-03-09,70
2012-03-10,71
2012-03-11,81
2012-03-12,73
2012-03-13,72
2012-03-14,75
2012-03-15,70
2012-03-16,70
2012-03-17,77
2012-03-18,79
2012-03-19,71
2012-03-20,69
2012-03-21,70
2012-03-22,67
2012-03-23,65
2012-03-24,69
2012-03-25,74
2012-03-26,70
2012-03-27,68
2012-03-28,69
2012-03-29,68
2012-03-30,66
2012-03-31,77
2013-01-01,86
2013-01-02,82
2013-01-03,77
2013-01-04,75
2013-01-05,78
2013-01-06,82
2013-01-07,74
2013-01-08,70
2013-01-09,65
2013-01-10,65
2013-01-11,64
2013-01-12,72
2013-01-13,83
2013-01-14,69
2013-01-15,68
2013-01-16,64
2013-01-17,60
2013-01-18,64
2013-01-19,75
2013-01-20,80
2013-01-21,67
2013-01-22,66
