date,Amazon video
2007-01-01,100
2007-01-02,58
2007-01-03,63
2007-01-04,54
2007-01-05,46
2007-01-06,73
2007-01-07,83
2007-01-08,51
2007-01-09,50
2007-01-10,37
2007-01-11,37
2007-01-12,49
2007-01-13,72
2007-01-14,94
2007-01-15,46
2007-01-16,41
2007-01-17,41
2007-01-18,36
2007-01-19,39
2007-01-20,45
2007-01-21,72
2007-01-22,66
2007-01-23,40
2007-01-24,38
2007-01-25,58
2007-01-26,46
2007-01-27,55
2007-01-28,62
2007-01-29,55
2007-01-30,48
2007-01-31,36
2007-02-01,39
2007-02-02,38
2007-02-03,44
2007-02-04,56
2007-02-05,55
2007-02-06,57
2007-02-07,51
2007-02-08,31
2007-02-09,49
2007-02-10,68
2007-02-11,61
2007-02-12,56
2007-02-13,39
2007-02-14,40
2007-02-15,53
2007-02-16,51
2007-02-17,49
2007-02-18,58
2007-02-19,49
2007-02-20,60
2007-02-21,38
2007-02-22,54
2007-02-23,52
2007-02-24,64
2007-02-25,39
2007-02-26,47
2007-02-27,32
2007-02-28,56
2007-03-01,37
2007-03-02,30
2007-03-03,67
2007-03-04,66
2007-03-05,47
2007-03-06,55
2007-03-07,47
2007-03-08,26
2007-03-09,30
2007-03-10,36
2007-03-11,51
2007-03-12,66
2007-03-13,43
2007-03-14,50
2007-03-15,53
2007-03-16,39
2007-03-17,33
2007-03-18,59
2007-03-19,50
2007-03-20,51
2007-03-21,43
2007-03-22,45
2007-03-23,36
2007-03-24,44
2007-03-25,39
2007-03-26,42
2007-03-27,40
2007-03-28,41
2007-03-29,43
2007-03-30,39
2007-03-31,71
2008-01-01,100
2008-01-02,68
2008-01-03,69
2008-01-04,75
2008-01-05,74
2008-01-06,75
2008-01-07,61
2008-01-08,59
2008-01-09,71
2008-01-10,55
2008-01-11,64
2008-01-12,65
2008-01-13,66
2008-01-14,52
2008-01-15,60
2008-01-16,53
2008-01-17,62
2008-01-18,39
2008-01-19,61
2008-01-20,88
2008-01-21,58
2008-01-22,52
2008-01-23,59
2008-01-24,58
2008-01-25,72
2008-01-26,67
2008-01-27,71
2008-01-28,58
2008-01-29,70
