Date,Amazon Australia,Amazon dvd,Amazon mp3,Amazon books,Amazon India,Amazon music,Amazon UK,Amazon video,Amazon error,Amazon kindle,Amazon order,Amazon recall,Amazon register,Amazon sucks,Amazon echo,Price
1/1/07,76,100,50,52,21,78,100,100,71,0,58,0,0,0,36,38.700001
1/2/07,70,78,72,95,13,53,99,58,0,39,25,0,41,39,47,38.900002
1/3/07,45,91,65,89,0,57,87,63,43,38,46,0,39,38,54,38.369999
1/4/07,73,68,45,90,12,65,88,54,42,0,34,83,0,0,53,37.5
1/5/07,34,77,53,58,0,100,78,46,0,38,60,0,0,38,52,37.779999
1/6/07,41,75,51,65,33,73,91,73,57,100,31,0,0,100,43,37.150002
1/7/07,54,89,68,71,100,80,94,83,0,0,31,0,0,0,37,37.400002
1/8/07,85,65,43,64,12,51,70,51,80,0,44,0,0,0,53,38.200001
1/9/07,37,59,37,100,23,44,73,50,0,34,64,0,71,34,51,38.66
1/10/07,49,61,55,82,35,60,66,37,40,34,65,0,35,34,53,37.880001
1/11/07,23,71,43,67,23,46,76,37,0,0,33,39,71,0,56,36.98
1/12/07,41,55,45,99,25,58,71,49,0,0,58,0,76,0,51,37.02
1/13/07,59,79,64,100,0,83,80,72,0,0,61,0,0,0,46,36.950001
1/14/07,80,82,63,76,49,76,93,94,0,0,30,0,0,0,42,36.43
1/15/07,75,67,57,88,23,57,84,46,0,0,65,0,0,0,55,37.259998
1/16/07,67,52,17,89,46,63,76,41,0,0,95,0,35,0,53,37.080002
1/17/07,89,59,37,96,11,62,75,41,0,0,53,0,0,0,52,36.849998
1/18/07,45,55,44,59,11,60,58,36,39,0,53,0,0,0,55,37.43
1/19/07,36,56,37,69,25,75,60,39,42,36,46,0,75,36,56,37.049999
1/20/07,58,69,69,89,32,88,78,45,0,0,44,0,49,0,41,37.669998
1/21/07,56,79,81,83,16,68,86,72,0,0,87,0,0,0,44,38.700001
1/22/07,62,51,48,70,44,52,64,66,0,0,72,0,0,0,53,37.389999
