Fiscal Quarter End,Date Reported,AMZN Net Income (millions),AMZN Basic Earnings per Share,AMZN Diluted Earnings per Share,Consensus EPS* Forecast,Data Source
Mar 2017,4/27/2017,724.0,1.52,1.48,1.03,www.nasdaq.com/earnings/report/amzn#ixzz4h6BnEgrX
Dec 2016,2/2/2017,749.0,1.58,1.54,1.40,www.nasdaq.com/earnings/report/amzn#ixzz4h6BnEgrX
Sep 2016,10/27/2016,252.0,0.53,0.52,0.85,www.nasdaq.com/earnings/report/amzn#ixzz4h6BnEgrX
Jun 2016,7/28/2016,857.0,1.81,1.78,1.14,www.nasdaq.com/earnings/report/amzn#ixzz4h6BnEgrX
Mar 2016,4/28/2016,513.0,1.09,1.07,,SEC EDGAR website
Dec 2015,1/28/2016,368.0,0.79,0.77,,SEC EDGAR website
Sep 2015,10/22/2015,79.0,0.17,0.17,,SEC EDGAR website
Jun 2015,7/23/2015,92.0,0.20,0.19,,SEC EDGAR website
Mar 2015,4/23/2015,-57.0,-0.12,-0.12,,SEC EDGAR website
Dec 2014,1/29/2015,214.0,0.47,0.47,,SEC EDGAR website
Sep 2014,10/23/2014,-437.0,-0.95,-0.95,,SEC EDGAR website
Jun 2014,7/24/2014,-126.0,-0.27,-0.27,,SEC EDGAR website
Mar 2014,4/24/2014,108.0,0.23,0.23,,SEC EDGAR website
Dec 2013,1/30/2014,240.0,0.53,0.52,,SEC EDGAR website
Sep 2013,10/25/2013,-41.0,-0.09,-0.09,,SEC EDGAR website
Jun 2013,7/26/2013,-7.0,-0.02,-0.02,,SEC EDGAR website
Mar 2013,4/26/2013,82.0,0.18,0.18,,SEC EDGAR website
Dec 2012,1/30/2013,98.0,0.20,0.20,,SEC EDGAR website
Sep 2012,10/26/2012,-274.0,-0.60,-0.60,,SEC EDGAR website
Jun 2012,7/27/2012,7.0,0.02,0.01,,SEC EDGAR website
Mar 2012,4/26/2012,130.0,0.29,0.28,,SEC EDGAR website
Dec 2011,2/1/2012,176.0,0.39,0.38,,SEC EDGAR website
Sep 2011,10/26/2011,63.0,0.14,0.14,,SEC EDGAR website
Jun 2011,7/27/2011,191.0,0.42,0.41,,SEC EDGAR website
Mar 2011,4/27/2011,201.0,0.44,0.44,,SEC EDGAR website
Dec 2010,1/28/2011,415.0,0.94,0.91,,SEC EDGAR website
Sep 2010,10/22/2010,231.0,0.51,0.51,,SEC EDGAR website
Jun 2010,7/23/2010,207.0,0.46,0.45,,SEC EDGAR website
Mar 2010,4/23/2010,299.0,0.67,0.66,,SEC EDGAR website
Dec 2009,1/29/2010,384.0,0.88,0.86,,SEC EDGAR website
Sep 2009,10/23/2009,199.0,0.46,0.45,,SEC EDGAR website
Jun 2009,7/24/2009,142.0,0.33,0.32,,SEC EDGAR website
Mar 2009,4/24/2009,177.0,0.41,0.41,,SEC EDGAR website
Dec 2008,1/30/2009,226.0,0.52,0.51,,SEC EDGAR website
Sep 2008,10/22/2008,118.0,0.28,0.27,,SEC EDGAR website
Jun 2008,7/25/2008,158.0,0.38,0.37,,SEC EDGAR website
Mar 2008,4/25/2008,143.0,0.34,0.34,,SEC EDGAR website
Dec 2007,2/11/2008,207.0,0.50,0.48,,SEC EDGAR website
Sep 2007,10/25/2007,80.0,0.19,0.19,,SEC EDGAR website
Jun 2007,7/26/2007,78.0,0.19,0.19,,SEC EDGAR website
Mar 2007,4/26/2007,111.0,0.27,0.26,,SEC EDGAR website
Dec 2006,2/16/2007,98.0,0.24,0.23,,SEC EDGAR website
Sep 2006,10/26/2006,19,0.05,0.05,,SEC EDGAR website
Jun 2006,7/27/2006,22.0,0.05,0.05,,SEC EDGAR website
Mar 2006,4/27/2006,51.0,0.12,0.12,,SEC EDGAR website
,,,,,,
