date,Amazon dvd
2007-01-01,100
2007-01-02,78
2007-01-03,91
2007-01-04,68
2007-01-05,77
2007-01-06,75
2007-01-07,89
2007-01-08,65
2007-01-09,59
2007-01-10,61
2007-01-11,71
2007-01-12,55
2007-01-13,79
2007-01-14,82
2007-01-15,67
2007-01-16,52
2007-01-17,59
2007-01-18,55
2007-01-19,56
2007-01-20,69
2007-01-21,79
2007-01-22,51
2007-01-23,56
2007-01-24,69
2007-01-25,53
2007-01-26,55
2007-01-27,72
2007-01-28,81
2007-01-29,63
2007-01-30,54
2007-01-31,61
2007-02-01,47
2007-02-02,46
2007-02-03,77
2007-02-04,73
2007-02-05,63
2007-02-06,53
2007-02-07,68
2007-02-08,55
2007-02-09,61
2007-02-10,62
2007-02-11,81
2007-02-12,60
2007-02-13,62
2007-02-14,55
2007-02-15,60
2007-02-16,57
2007-02-17,70
2007-02-18,94
2007-02-19,66
2007-02-20,53
2007-02-21,50
2007-02-22,52
2007-02-23,50
2007-02-24,72
2007-02-25,61
2007-02-26,64
2007-02-27,50
2007-02-28,44
2007-03-01,66
2007-03-02,58
2007-03-03,70
2007-03-04,82
2007-03-05,62
2007-03-06,61
2007-03-07,57
2007-03-08,47
2007-03-09,52
2007-03-10,67
2007-03-11,59
2007-03-12,53
2007-03-13,53
2007-03-14,50
2007-03-15,47
2007-03-16,57
2007-03-17,60
2007-03-18,68
2007-03-19,59
2007-03-20,67
2007-03-21,49
2007-03-22,58
2007-03-23,54
2007-03-24,62
2007-03-25,73
2007-03-26,53
2007-03-27,47
2007-03-28,53
2007-03-29,55
2007-03-30,46
2007-03-31,64
2008-01-01,91
2008-01-02,93
2008-01-03,81
2008-01-04,77
2008-01-05,98
2008-01-06,100
2008-01-07,75
2008-01-08,77
2008-01-09,74
2008-01-10,69
2008-01-11,69
2008-01-12,87
2008-01-13,87
2008-01-14,68
2008-01-15,65
2008-01-16,74
2008-01-17,60
2008-01-18,68
2008-01-19,80
2008-01-20,83
2008-01-21,71
2008-01-22,62
2008-01-23,57
2008-01-24,56
2008-01-25,65
2008-01-26,73
2008-01-27,80
2008-01-28,58
2008-01-29,60
2008-01-30,48
2008-01-31,49
2008-02-01,69
2008-02-02,68
2008-02-03,77
2008-02-04,65
2008-02-05,55
2008-02-06,62
2008-02-07,66
2008-02-08,62
2008-02-09,79
2008-02-10,83
2008-02-11,67
2008-02-12,55
2008-02-13,57
2008-02-14,53
2008-02-15,57
2008-02-16,80
2008-02-17,86
2008-02-18,58
2008-02-19,65
2008-02-20,69
2008-02-21,59
2008-02-22,64
2008-02-23,80
2008-02-24,73
2008-02-25,62
2008-02-26,71
2008-02-27,52
2008-02-28,61
2008-02-29,59
2008-03-01,75
2008-03-02,68
2008-03-03,66
2008-03-04,62
2008-03-05,59
2008-03-06,53
2008-03-07,50
2008-03-08,59
2008-03-09,81
2008-03-10,63
2008-03-11,57
2008-03-12,58
2008-03-13,49
2008-03-14,53
2008-03-15,73
