date,Amazon mp3
2007-01-01,50
2007-01-02,72
2007-01-03,65
2007-01-04,45
2007-01-05,53
2007-01-06,51
2007-01-07,68
2007-01-08,43
2007-01-09,37
2007-01-10,55
2007-01-11,43
2007-01-12,45
2007-01-13,64
2007-01-14,63
2007-01-15,57
2007-01-16,17
2007-01-17,37
2007-01-18,44
2007-01-19,37
2007-01-20,69
2007-01-21,81
2007-01-22,48
2007-01-23,46
2007-01-24,56
2007-01-25,42
2007-01-26,42
2007-01-27,59
2007-01-28,78
2007-01-29,57
2007-01-30,48
2007-01-31,53
2007-02-01,47
2007-02-02,31
2007-02-03,69
2007-02-04,67
2007-02-05,41
2007-02-06,35
2007-02-07,50
2007-02-08,55
2007-02-09,28
2007-02-10,50
2007-02-11,66
2007-02-12,49
2007-02-13,35
2007-02-14,22
2007-02-15,45
2007-02-16,76
2007-02-17,63
2007-02-18,70
2007-02-19,60
2007-02-20,40
2007-02-21,46
2007-02-22,37
2007-02-23,41
2007-02-24,100
2007-02-25,48
2007-02-26,44
2007-02-27,36
2007-02-28,44
2007-03-01,31
2007-03-02,42
2007-03-03,43
2007-03-04,42
2007-03-05,35
2007-03-06,34
2007-03-07,62
2007-03-08,43
2007-03-09,27
2007-03-10,59
2007-03-11,55
2007-03-12,39
2007-03-13,39
2007-03-14,58
2007-03-15,43
2007-03-16,27
2007-03-17,72
2007-03-18,66
2007-03-19,46
2007-03-20,26
2007-03-21,46
2007-03-22,32
2007-03-23,44
2007-03-24,65
2007-03-25,59
2007-03-26,63
2007-03-27,36
2007-03-28,37
2007-03-29,31
2007-03-30,50
2007-03-31,57
2008-01-01,61
2008-01-02,44
2008-01-03,48
2008-01-04,47
2008-01-05,63
2008-01-06,39
2008-01-07,51
2008-01-08,43
2008-01-09,39
2008-01-10,45
2008-01-11,100
2008-01-12,68
2008-01-13,65
2008-01-14,44
2008-01-15,55
2008-01-16,41
2008-01-17,44
2008-01-18,36
2008-01-19,51
2008-01-20,61
2008-01-21,46
2008-01-22,34
2008-01-23,42
2008-01-24,48
2008-01-25,41
2008-01-26,37
2008-01-27,70
2008-01-28,75
2008-01-29,61
2008-01-30,56
2008-01-31,51
2008-02-01,51
2008-02-02,51
2008-02-03,48
2008-02-04,40
2008-02-05,43
2008-02-06,46
2008-02-07,33
2008-02-08,49
2008-02-09,60
2008-02-10,59
2008-02-11,51
2008-02-12,38
2008-02-13,36
2008-02-14,34
2008-02-15,39
2008-02-16,42
2008-02-17,50
2008-02-18,50
