"","date","Echo"
"1","2006-10-01",65
"2","2006-10-02",81
"3","2006-10-03",81
"4","2006-10-04",89
"5","2006-10-05",89
"6","2006-10-06",75
"7","2006-10-07",78
"8","2006-10-08",77
"9","2006-10-09",76
"10","2006-10-10",87
"11","2006-10-11",80
"12","2006-10-12",92
"13","2006-10-13",75
"14","2006-10-14",69
"15","2006-10-15",71
"16","2006-10-16",86
"17","2006-10-17",91
"18","2006-10-18",82
"19","2006-10-19",85
"20","2006-10-20",80
"21","2006-10-21",61
"22","2006-10-22",73
"23","2006-10-23",86
"24","2006-10-24",86
"25","2006-10-25",92
"26","2006-10-26",82
"27","2006-10-27",84
"28","2006-10-28",69
"29","2006-10-29",70
"30","2006-10-30",81
"31","2006-10-31",89
"32","2006-11-01",87
"33","2006-11-02",96
"34","2006-11-03",82
"35","2006-11-04",75
"36","2006-11-05",74
"37","2006-11-06",80
"38","2006-11-07",88
"39","2006-11-08",84
"40","2006-11-09",85
"41","2006-11-10",76
"42","2006-11-11",71
"43","2006-11-12",65
"44","2006-11-13",100
"45","2006-11-14",89
"46","2006-11-15",92
"47","2006-11-16",83
"48","2006-11-17",91
"49","2006-11-18",62
"50","2006-11-19",63
"51","2006-11-20",80
"52","2006-11-21",81
"53","2006-11-22",83
"54","2006-11-23",81
"55","2006-11-24",74
"56","2006-11-25",65
"57","2006-11-26",67
"58","2006-11-27",87
"59","2006-11-28",90
"60","2006-11-29",80
"61","2006-11-30",78
"62","2006-12-01",76
"63","2006-12-02",61
"64","2006-12-03",62
"65","2006-12-04",80
"66","2006-12-05",69
"67","2006-12-06",81
"68","2006-12-07",81
"69","2006-12-08",75
"70","2006-12-09",72
"71","2006-12-10",55
"72","2006-12-11",79
"73","2006-12-12",80
"74","2006-12-13",78
"75","2006-12-14",81
"76","2006-12-15",81
"77","2006-12-16",63
"78","2006-12-17",59
"79","2006-12-18",80
"80","2006-12-19",84
"81","2006-12-20",76
"82","2006-12-21",73
"83","2006-12-22",71
"84","2006-12-23",59
"85","2006-12-24",51
"86","2006-12-25",45
"87","2006-12-26",62
"88","2006-12-27",73
"89","2006-12-28",68
"90","2006-12-29",67
"91","2006-12-30",64
"92","2006-12-31",63
"93","2007-01-01",36
"94","2007-01-02",47
"95","2007-01-03",54
"96","2007-01-04",53
"97","2007-01-05",52
"98","2007-01-06",43
"99","2007-01-07",37
"100","2007-01-08",53
"101","2007-01-09",51
"102","2007-01-10",53
"103","2007-01-11",56
"104","2007-01-12",51
"105","2007-01-13",46
"106","2007-01-14",42
"107","2007-01-15",55
"108","2007-01-16",53
"109","2007-01-17",52
"110","2007-01-18",55
"111","2007-01-19",56
"112","2007-01-20",41
"113","2007-01-21",44
"114","2007-01-22",53
"115","2007-01-23",56
"116","2007-01-24",53
"117","2007-01-25",49
"118","2007-01-26",51
"119","2007-01-27",42
"120","2007-01-28",41
"121","2007-01-29",53
"122","2007-01-30",52
"123","2007-01-31",55
"124","2007-02-01",51
"125","2007-02-02",48
"126","2007-02-03",46
"127","2007-02-04",45
"128","2007-02-05",53
"129","2007-02-06",53
"130","2007-02-07",52
"131","2007-02-08",51
"132","2007-02-09",48
"133","2007-02-10",43
"134","2007-02-11",43
"135","2007-02-12",52
"136","2007-02-13",52
"137","2007-02-14",51
"138","2007-02-15",53
"139","2007-02-16",50
"140","2007-02-17",44
"141","2007-02-18",48
"142","2007-02-19",54
"143","2007-02-20",54
"144","2007-02-21",52
"145","2007-02-22",51
"146","2007-02-23",51
"147","2007-02-24",47
"148","2007-02-25",41
"149","2007-02-26",51
"150","2007-02-27",50
"151","2007-02-28",54
"152","2007-03-01",53
"153","2007-03-02",52
"154","2007-03-03",47
"155","2007-03-04",43
"156","2007-03-05",53
"157","2007-03-06",54
"158","2007-03-07",54
"159","2007-03-08",52
"160","2007-03-09",50
"161","2007-03-10",43
"162","2007-03-11",43
"163","2007-03-12",53
"164","2007-03-13",54
"165","2007-03-14",53
"166","2007-03-15",53
"167","2007-03-16",47
"168","2007-03-17",44
"169","2007-03-18",45
"170","2007-03-19",60
"171","2007-03-20",53
"172","2007-03-21",53
"173","2007-03-22",57
"174","2007-03-23",56
"175","2007-03-24",49
"176","2007-03-25",90
"177","2007-03-26",100
"178","2007-03-27",69
"179","2007-03-28",56
"180","2007-03-29",55
"181","2007-03-30",55
"182","2007-03-31",42
"183","2007-04-01",74
"184","2007-04-02",85
"185","2007-04-03",88
"186","2007-04-04",85
"187","2007-04-05",78
"188","2007-04-06",73
"189","2007-04-07",71
"190","2007-04-08",61
"191","2007-04-09",67
"192","2007-04-10",86
"193","2007-04-11",82
"194","2007-04-12",83
"195","2007-04-13",80
"196","2007-04-14",68
"197","2007-04-15",65
"198","2007-04-16",85
"199","2007-04-17",82
"200","2007-04-18",84
"201","2007-04-19",83
"202","2007-04-20",81
"203","2007-04-21",72
"204","2007-04-22",69
"205","2007-04-23",88
"206","2007-04-24",82
"207","2007-04-25",88
"208","2007-04-26",87
"209","2007-04-27",82
"210","2007-04-28",71
"211","2007-04-29",67
"212","2007-04-30",84
"213","2007-05-01",86
"214","2007-05-02",87
"215","2007-05-03",87
"216","2007-05-04",89
"217","2007-05-05",73
"218","2007-05-06",70
"219","2007-05-07",76
"220","2007-05-08",93
"221","2007-05-09",84
"222","2007-05-10",86
"223","2007-05-11",84
"224","2007-05-12",72
"225","2007-05-13",73
"226","2007-05-14",84
"227","2007-05-15",86
"228","2007-05-16",86
"229","2007-05-17",86
"230","2007-05-18",86
"231","2007-05-19",73
"232","2007-05-20",68
"233","2007-05-21",86
"234","2007-05-22",93
"235","2007-05-23",89
"236","2007-05-24",90
"237","2007-05-25",85
"238","2007-05-26",74
"239","2007-05-27",68
"240","2007-05-28",75
"241","2007-05-29",84
"242","2007-05-30",97
"243","2007-05-31",85
"244","2007-06-01",83
"245","2007-06-02",69
"246","2007-06-03",71
"247","2007-06-04",89
"248","2007-06-05",88
"249","2007-06-06",91
