"","Date","Google","Translate","Docs","Okay google","gmail","Earth","Hangout","Maps","Street View","Classroom","Chrome"
"1","2007-01-01",100,49,18,0,81,90,0,62,0,0,70
"2","2007-01-02",87,53,41,0,84,70,0,67,0,0,44
"3","2007-01-03",84,60,43,0,85,69,0,70,0,42,42
"4","2007-01-04",83,56,23,0,87,64,0,68,0,41,0
"5","2007-01-05",84,47,39,53,86,68,0,72,0,43,0
"6","2007-01-06",92,56,28,0,79,80,0,67,0,0,56
"7","2007-01-07",91,60,30,0,74,85,0,66,0,0,0
"8","2007-01-08",81,56,44,0,85,65,0,71,0,0,0
"9","2007-01-09",82,52,40,47,86,67,0,73,0,77,0
"10","2007-01-10",85,61,36,0,84,68,0,78,0,0,79
"11","2007-01-11",85,57,43,0,84,79,0,76,0,0,0
"12","2007-01-12",88,70,33,51,85,77,0,77,0,41,42
"13","2007-01-13",97,47,34,67,79,94,0,76,0,0,0
"14","2007-01-14",92,59,40,0,74,100,0,77,0,0,55
"15","2007-01-15",81,60,40,0,85,75,0,75,0,0,0
"16","2007-01-16",83,73,43,0,86,71,0,77,0,38,0
"17","2007-01-17",84,66,45,0,86,74,0,77,0,38,38
"18","2007-01-18",85,48,52,0,85,78,0,78,52,51,38
"19","2007-01-19",87,68,49,0,87,77,0,83,0,41,0
"20","2007-01-20",95,60,47,0,76,91,0,79,0,54,0
"21","2007-01-21",93,69,52,0,72,94,0,77,0,0,0
"22","2007-01-22",83,66,38,0,85,71,0,74,0,37,0
"23","2007-01-23",84,73,54,0,85,72,0,78,0,74,75
"24","2007-01-24",87,63,34,0,87,72,0,80,52,76,0
"25","2007-01-25",87,69,31,0,86,73,0,78,0,58,0
"26","2007-01-26",89,65,46,0,85,76,0,79,0,0,0
"27","2007-01-27",99,56,37,0,78,94,0,84,0,0,54
"28","2007-01-28",93,58,53,0,72,95,0,78,0,0,0
"29","2007-01-29",83,69,54,0,86,70,0,76,0,0,0
"30","2007-01-30",83,73,50,0,86,68,0,77,0,37,37
"31","2007-01-31",85,85,44,0,86,72,0,78,0,37,37
"32","2007-02-01",88,80,58,0,86,72,0,78,53,38,39
"33","2007-02-02",91,57,60,49,87,78,0,88,55,60,40
"34","2007-02-03",98,64,44,0,80,92,100,84,73,0,0
"35","2007-02-04",95,80,47,64,74,92,0,78,0,52,52
"36","2007-02-05",83,73,73,0,86,74,0,77,0,0,37
"37","2007-02-06",84,74,67,45,85,72,0,82,0,0,37
"38","2007-02-07",87,70,64,46,89,72,0,79,0,74,0
"39","2007-02-08",85,75,74,0,88,73,0,81,0,37,37
"40","2007-02-09",89,56,84,0,87,75,74,84,0,52,39
"41","2007-02-10",98,56,50,0,79,88,0,83,0,0,52
"42","2007-02-11",95,84,59,0,74,88,0,78,0,0,51
"43","2007-02-12",85,83,44,0,89,69,0,78,0,36,0
"44","2007-02-13",83,80,47,0,90,71,0,80,100,0,36
"45","2007-02-14",85,72,53,0,90,68,0,79,0,0,38
"46","2007-02-15",89,71,55,47,92,71,0,86,0,39,38
"47","2007-02-16",90,74,50,100,90,74,0,89,0,0,81
"48","2007-02-17",98,51,37,0,82,85,0,85,0,55,0
"49","2007-02-18",94,67,38,0,76,88,0,80,0,53,55
"50","2007-02-19",85,61,60,48,89,71,0,84,0,0,0
"51","2007-02-20",85,68,65,48,89,70,73,85,0,39,0
"52","2007-02-21",86,79,51,0,90,69,0,85,0,0,0
"53","2007-02-22",91,83,100,0,92,69,0,88,0,38,38
"54","2007-02-23",93,65,100,0,91,74,0,88,55,40,40
"55","2007-02-24",98,72,73,0,83,87,0,85,0,52,0
"56","2007-02-25",95,70,59,0,75,88,0,78,0,0,0
"57","2007-02-26",84,71,74,0,88,64,0,83,0,36,36
"58","2007-02-27",84,65,80,44,92,64,0,84,0,0,36
"59","2007-02-28",86,100,49,44,92,65,0,86,0,36,0
"60","2007-03-01",86,74,77,0,94,67,0,88,0,55,37
"61","2007-03-02",88,83,63,0,91,71,0,91,0,0,0
"62","2007-03-03",95,65,53,62,81,84,0,90,69,50,0
"63","2007-03-04",93,84,43,0,77,86,0,85,0,50,0
