Date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Powerpoint,Office Product Key,Excel,Skype,Windows,Price
1/1/07,68,0,43,0,0,0,0,61,0,58,49,19,49,31,63,29.860001
1/2/07,76,0,58,0,27,0,0,63,0,83,49,20,64,20,71,29.809999
1/3/07,79,0,60,0,38,0,0,71,0,99,54,63,84,48,69,29.639999
1/4/07,79,0,63,0,74,0,0,76,0,84,65,23,93,19,76,29.93
1/5/07,78,0,39,0,52,0,0,69,0,81,56,28,87,29,70,29.959999
1/6/07,71,0,17,0,100,0,0,66,0,75,59,83,60,25,78,29.66
1/7/07,75,0,62,0,0,0,0,65,0,52,76,87,60,100,71,30.700001
1/8/07,77,72,51,0,0,0,100,70,0,83,64,25,86,71,64,31.209999
1/9/07,80,0,81,0,0,0,0,71,0,91,76,46,85,34,69,31.16
1/10/07,81,0,67,0,23,72,0,75,0,79,81,58,91,35,71,31.1
1/11/07,81,0,72,0,24,0,0,73,0,86,59,69,95,44,65,31
1/12/07,80,0,58,0,0,0,53,68,0,78,67,38,83,74,67,31.110001
1/13/07,74,0,39,0,50,0,0,72,0,65,69,41,67,37,66,30.719999
1/14/07,72,100,33,0,66,100,0,65,0,64,54,100,67,49,71,30.74
1/15/07,74,0,55,0,0,0,49,67,0,75,73,25,75,35,66,31.09
1/16/07,77,0,50,0,0,0,0,72,0,88,77,70,78,43,62,30.450001
1/17/07,79,0,73,0,57,0,0,71,0,90,87,63,100,60,67,30.6
1/18/07,78,0,65,0,46,0,48,66,0,76,68,53,88,26,64,30.530001
1/19/07,77,0,62,0,24,0,0,70,0,85,76,79,81,74,64,30.48
1/20/07,72,0,76,0,32,0,0,66,0,62,64,55,59,49,74,30.860001
1/21/07,72,0,48,0,47,0,0,73,0,59,81,82,69,71,69,30.559999
1/22/07,76,68,45,0,22,0,0,70,0,83,60,48,76,50,65,30.190001
1/23/07,82,68,41,0,0,0,47,71,0,92,74,62,96,25,66,29.610001
1/24/07,80,69,34,0,22,0,0,71,0,92,66,46,92,51,68,29.51
1/25/07,79,70,51,0,23,0,0,72,0,73,71,36,85,35,67,29.370001
1/26/07,77,75,83,0,25,0,0,75,0,80,79,34,87,28,68,29.26
1/27/07,73,0,33,0,32,0,0,70,0,60,74,60,67,37,82,28.98
1/28/07,75,0,37,0,31,0,0,72,0,56,91,87,62,71,74,28.940001
1/29/07,85,0,55,0,44,0,0,73,0,72,62,47,80,33,78,29.01
1/30/07,100,0,45,0,22,0,47,84,0,84,54,93,82,25,100,29.4
1/31/07,95,0,49,0,0,0,0,88,0,87,67,77,89,51,94,29.459999
2/1/07,91,0,70,0,23,0,0,100,0,79,62,67,97,34,84,28.74
2/2/07,87,73,85,0,60,0,0,87,0,85,69,86,82,0,83,28.83
2/3/07,83,0,37,0,64,0,0,90,0,79,67,74,57,48,85,29.35
2/4/07,80,0,47,0,47,0,0,94,0,65,74,53,70,47,86,29.389999
2/5/07,81,68,41,0,22,0,0,87,0,69,67,48,88,17,72,28.9
2/6/07,82,0,44,0,0,0,47,87,0,82,88,71,95,0,74,29.07
2/7/07,84,0,41,0,22,0,48,86,0,86,82,72,91,33,74,27.870001
2/8/07,79,0,45,0,0,0,47,80,0,81,87,75,89,33,73,28.17
2/9/07,78,0,71,0,0,0,0,75,0,78,66,47,85,53,73,28.09
2/10/07,76,0,74,0,63,0,66,80,0,68,73,87,65,83,73,27.76
2/11/07,75,0,41,0,31,0,0,79,0,56,71,47,67,46,76,27.549999
2/12/07,77,0,59,0,33,0,0,75,0,85,74,54,81,49,66,27.83
2/13/07,78,0,59,0,33,0,0,76,100,86,92,54,79,65,67,27.610001
2/14/07,80,67,60,0,45,0,0,78,0,89,62,73,90,34,76,27.32
2/15/07,79,0,66,0,23,71,0,76,0,87,80,39,81,26,69,27.290001
2/16/07,78,0,62,0,41,0,0,71,0,86,59,49,79,18,75,27.440001
2/17/07,75,0,39,0,0,0,0,79,0,61,82,50,58,74,70,26.719999
2/18/07,74,0,38,0,32,0,0,72,0,58,99,55,64,73,76,27.4
2/19/07,77,0,63,100,47,0,0,75,0,77,75,65,75,44,71,27.280001
2/20/07,81,0,70,0,23,0,0,72,0,81,84,54,88,70,71,27.33
2/21/07,79,0,53,0,45,0,48,81,0,84,70,45,84,25,70,27.83
2/22/07,79,0,38,0,23,0,0,78,0,83,75,42,87,17,67,27.84
2/23/07,78,0,45,0,60,0,0,74,0,90,63,26,74,36,71,28.52
2/24/07,72,0,36,0,31,0,0,69,0,73,50,63,50,47,71,28.27
2/25/07,73,0,35,0,30,0,64,67,0,59,100,78,52,56,70,28.02
2/26/07,77,0,58,0,21,0,0,74,0,74,86,36,83,40,61,28.219999
2/27/07,79,0,36,0,50,0,0,76,0,87,59,71,80,16,63,27.719999
2/28/07,81,66,48,0,22,0,0,80,0,92,75,53,84,24,70,27.639999
3/1/07,80,68,71,0,66,0,46,78,0,89,74,55,99,33,69,27.75
3/2/07,76,0,59,0,23,0,99,72,0,94,74,39,80,17,66,27.870001
3/3/07,73,0,36,0,30,0,0,75,0,69,73,51,62,34,72,27.74
3/4/07,74,93,41,0,0,0,0,75,0,58,48,93,49,57,70,27.870001
3/5/07,75,0,79,0,21,0,0,76,0,79,59,49,82,16,66,28.5
3/6/07,80,0,89,0,0,0,0,72,0,100,74,69,86,32,65,28.549999
3/7/07,79,0,64,0,35,0,0,71,0,89,73,43,82,16,66,28.57
3/8/07,81,67,100,0,22,0,0,73,0,96,81,34,75,16,68,28.4
3/9/07,82,0,89,0,23,0,0,70,0,83,75,63,77,77,70,28.110001
3/10/07,78,0,41,0,61,0,0,69,0,80,75,52,66,69,79,28.540001
3/11/07,83,0,51,0,30,0,0,70,0,73,63,65,56,46,80,28.610001
3/12/07,79,0,36,0,32,0,0,71,0,95,60,69,72,24,73,28.73
3/13/07,78,66,51,0,29,0,90,73,0,88,68,60,84,16,69,28.85
3/14/07,76,0,29,0,22,0,0,73,0,88,77,40,88,33,70,28.6
3/15/07,77,0,60,0,22,0,0,71,0,84,72,55,75,25,68,28.690001
3/16/07,72,69,77,0,23,0,49,67,0,87,68,46,73,60,68,29.02
3/17/07,67,0,31,0,0,95,0,68,0,59,62,47,70,22,60,28.780001
3/18/07,66,0,59,0,44,0,0,67,0,52,75,50,56,22,61,28.790001
3/19/07,72,0,54,0,21,0,0,67,0,76,72,69,84,24,59,28.99
3/20/07,73,0,49,0,22,69,47,67,0,69,71,55,88,42,60,29.1
3/21/07,75,0,40,90,21,0,0,67,0,78,78,43,98,57,65,30.120001
3/22/07,75,0,51,0,64,0,46,71,0,84,68,46,85,48,63,29.940001
3/23/07,70,0,42,0,0,0,0,66,0,65,74,17,83,60,58,30.4
3/24/07,65,0,20,0,0,0,0,67,0,60,58,37,57,45,70,30.610001
3/25/07,65,0,51,0,0,0,0,67,0,57,72,75,58,46,57,30.969999
3/26/07,70,63,46,0,21,0,0,68,0,78,72,42,85,48,57,30.559999
3/27/07,74,0,71,0,28,0,0,68,0,83,75,46,79,72,60,30.709999
3/28/07,74,0,29,0,0,0,0,70,0,85,94,23,84,24,59,30.75
3/29/07,74,0,44,0,22,0,0,65,0,77,72,30,84,49,61,30.780001
3/30/07,72,0,59,0,23,0,0,67,0,81,57,87,68,70,59,30.58
3/31/07,66,96,37,0,31,0,0,70,0,55,72,52,45,46,61,35.220001
1/1/08,76,0,77,0,53,0,18,74,8,73,48,56,44,73,94,35.369999
1/2/08,87,0,70,82,21,0,42,83,18,95,58,76,78,50,94,34.380001
1/3/08,91,0,65,0,27,0,41,88,20,100,60,54,81,42,93,34.610001
1/4/08,87,44,67,0,18,0,34,84,21,80,56,57,78,29,92,33.450001
1/5/08,82,0,69,0,17,0,35,83,20,72,61,70,60,27,91,34.439999
1/6/08,83,0,66,0,26,0,48,84,18,71,65,94,54,100,94,34.330002
1/7/08,93,0,64,0,38,0,100,88,24,91,69,91,78,22,89,33.91
1/8/08,94,0,93,0,31,0,85,90,20,87,83,52,99,39,99,34.389999
1/9/08,97,40,74,0,21,0,82,93,19,97,94,73,88,43,95,34
1/10/08,96,0,63,0,13,0,85,93,18,93,75,80,88,22,94,33.23
1/11/08,90,42,57,0,0,0,57,89,18,81,80,50,81,41,94,33.110001
1/12/08,85,55,56,100,17,0,39,86,23,61,67,88,69,35,98,33.009998
1/13/08,85,0,52,0,17,0,49,88,15,68,79,80,65,63,94,31.959999
1/14/08,92,0,46,0,24,0,37,92,21,77,77,61,84,25,91,31.93
1/15/08,92,0,61,0,12,0,55,97,19,79,94,64,85,29,90,33.25
1/16/08,96,39,83,0,12,0,64,100,19,96,77,81,92,39,91,32.939999
1/17/08,94,40,71,0,19,0,53,95,18,89,84,63,96,43,93,32.720001
1/18/08,91,0,65,0,30,0,51,88,21,86,80,52,87,31,93,32.599998
1/19/08,81,0,40,0,100,0,36,89,21,64,73,76,70,57,95,32.200001
1/20/08,81,53,71,0,16,0,28,90,16,67,61,76,60,67,94,32.599998
1/21/08,89,39,42,0,16,0,50,88,21,93,69,65,89,42,90,30.450001
1/22/08,93,0,69,0,18,0,28,92,22,94,77,100,96,37,91,30.190001
1/23/08,92,0,60,0,28,0,75,94,33,94,80,76,82,33,89,29.07
1/24/08,92,0,72,0,28,54,64,90,31,94,72,73,90,47,87,28.52
1/25/08,89,0,65,0,26,0,38,88,28,93,80,66,91,45,93,28.120001
1/26/08,82,0,70,100,51,0,34,85,34,59,76,70,60,46,95,28.559999
1/27/08,80,53,62,0,22,0,21,85,28,55,85,83,51,63,92,28.209999
1/28/08,89,38,78,0,12,0,40,87,22,78,80,49,80,37,92,28.34
1/29/08,92,0,47,0,31,0,38,92,23,92,81,66,92,18,89,28.959999
1/30/08,92,0,86,0,12,0,53,90,23,87,86,95,99,25,87,28.5
1/31/08,92,0,89,0,12,0,54,98,25,88,90,98,86,21,95,28.42
2/1/08,100,0,70,0,26,0,43,91,26,89,73,91,93,72,92,28.17
2/2/08,91,54,58,0,45,0,36,85,20,68,71,84,63,46,96,28.219999
2/3/08,87,0,48,0,38,0,48,92,21,68,85,96,61,74,93,28.1
