Fiscal Quarter End,Date Reported
3/31/2017,4/27/2017
12/31/2016,1/26/2017
9/30/2016,10/20/2016
6/30/2016,7/19/2016
3/31/2016,4/21/2016
12/31/2015,1/28/2016
9/30/2015,10/22/2015
6/30/2015,7/21/2015
3/31/2015,4/23/2015
12/31/2014,1/26/2015
9/30/2014,10/23/2014
6/30/2014,7/22/2014
3/31/2014,4/24/2014
12/31/2013,1/23/2014
9/30/2013,10/24/2013
6/30/2013,7/18/2013
3/31/2013,4/18/2013
12/31/2012,1/24/2013
9/30/2012,10/18/2012
6/30/2012,7/19/2012
3/31/2012,4/19/2012
12/31/2011,1/19/2012
9/30/2011,10/20/2011
6/30/2011,7/21/2011
3/31/2011,4/28/2011
12/31/2010,1/27/2011
9/30/2010,10/28/2010
6/30/2010,7/30/2010
3/31/2010,4/22/2010
12/31/2009,1/28/2010
9/30/2009,10/23/2009
6/30/2009,7/23/2009
3/31/2009,4/23/2009
12/31/2008,1/22/2009
9/30/2008,10/23/2008
6/30/2008,7/25/2008
3/31/2008,4/24/2008
12/31/2007,1/24/2008
9/30/2007,10/25/2007
6/30/2007,7/19/2007
3/31/2007,4/26/2007
12/31/2006,1/25/2007
9/30/2006,10/26/2006
6/30/2006,7/20/2006
3/31/2006,4/27/2006
,
