"","Date","Microsoft","Glasses","Phone","Office 10","Band","Hologram","Surface","Office","Silverlight","Outlook"
"1","2007-01-01",68,0,43,0,0,0,0,61,0,58
"2","2007-01-02",76,0,58,0,27,0,0,63,0,83
"3","2007-01-03",79,0,60,0,38,0,0,71,0,99
"4","2007-01-04",79,0,63,0,74,0,0,76,0,84
"5","2007-01-05",78,0,39,0,52,0,0,69,0,81
"6","2007-01-06",71,0,17,0,100,0,0,66,0,75
"7","2007-01-07",75,0,62,0,0,0,0,65,0,52
"8","2007-01-08",77,72,51,0,0,0,100,70,0,83
"9","2007-01-09",80,0,81,0,0,0,0,71,0,91
"10","2007-01-10",81,0,67,0,23,72,0,75,0,79
"11","2007-01-11",81,0,72,0,24,0,0,73,0,86
"12","2007-01-12",80,0,58,0,0,0,53,68,0,78
"13","2007-01-13",74,0,39,0,50,0,0,72,0,65
"14","2007-01-14",72,100,33,0,66,100,0,65,0,64
"15","2007-01-15",74,0,55,0,0,0,49,67,0,75
"16","2007-01-16",77,0,50,0,0,0,0,72,0,88
"17","2007-01-17",79,0,73,0,57,0,0,71,0,90
"18","2007-01-18",78,0,65,0,46,0,48,66,0,76
"19","2007-01-19",77,0,62,0,24,0,0,70,0,85
"20","2007-01-20",72,0,76,0,32,0,0,66,0,62
"21","2007-01-21",72,0,48,0,47,0,0,73,0,59
"22","2007-01-22",76,68,45,0,22,0,0,70,0,83
"23","2007-01-23",82,68,41,0,0,0,47,71,0,92
"24","2007-01-24",80,69,34,0,22,0,0,71,0,92
"25","2007-01-25",79,70,51,0,23,0,0,72,0,73
"26","2007-01-26",77,75,83,0,25,0,0,75,0,80
"27","2007-01-27",73,0,33,0,32,0,0,70,0,60
"28","2007-01-28",75,0,37,0,31,0,0,72,0,56
"29","2007-01-29",85,0,55,0,44,0,0,73,0,72
"30","2007-01-30",100,0,45,0,22,0,47,84,0,84
"31","2007-01-31",95,0,49,0,0,0,0,88,0,87
"32","2007-02-01",91,0,70,0,23,0,0,100,0,79
"33","2007-02-02",87,73,85,0,60,0,0,87,0,85
"34","2007-02-03",83,0,37,0,64,0,0,90,0,79
"35","2007-02-04",80,0,47,0,47,0,0,94,0,65
"36","2007-02-05",81,68,41,0,22,0,0,87,0,69
"37","2007-02-06",82,0,44,0,0,0,47,87,0,82
"38","2007-02-07",84,0,41,0,22,0,48,86,0,86
"39","2007-02-08",79,0,45,0,0,0,47,80,0,81
"40","2007-02-09",78,0,71,0,0,0,0,75,0,78
"41","2007-02-10",76,0,74,0,63,0,66,80,0,68
"42","2007-02-11",75,0,41,0,31,0,0,79,0,56
"43","2007-02-12",77,0,59,0,33,0,0,75,0,85
"44","2007-02-13",78,0,59,0,33,0,0,76,100,86
"45","2007-02-14",80,67,60,0,45,0,0,78,0,89
"46","2007-02-15",79,0,66,0,23,71,0,76,0,87
"47","2007-02-16",78,0,62,0,41,0,0,71,0,86
"48","2007-02-17",75,0,39,0,0,0,0,79,0,61
"49","2007-02-18",74,0,38,0,32,0,0,72,0,58
"50","2007-02-19",77,0,63,100,47,0,0,75,0,77
"51","2007-02-20",81,0,70,0,23,0,0,72,0,81
"52","2007-02-21",79,0,53,0,45,0,48,81,0,84
"53","2007-02-22",79,0,38,0,23,0,0,78,0,83
"54","2007-02-23",78,0,45,0,60,0,0,74,0,90
"55","2007-02-24",72,0,36,0,31,0,0,69,0,73
"56","2007-02-25",73,0,35,0,30,0,64,67,0,59
"57","2007-02-26",77,0,58,0,21,0,0,74,0,74
"58","2007-02-27",79,0,36,0,50,0,0,76,0,87
"59","2007-02-28",81,66,48,0,22,0,0,80,0,92
"60","2007-03-01",80,68,71,0,66,0,46,78,0,89
"61","2007-03-02",76,0,59,0,23,0,99,72,0,94
"62","2007-03-03",73,0,36,0,30,0,0,75,0,69
"63","2007-03-04",74,93,41,0,0,0,0,75,0,58
"64","2007-03-05",75,0,79,0,21,0,0,76,0,79
"65","2007-03-06",80,0,89,0,0,0,0,72,0,100
"66","2007-03-07",79,0,64,0,35,0,0,71,0,89
