"","Date","Amazon","Echo","Kindle","Order","Register","Error","Sucks","Recall"
"1","2006-10-01",66,65,0,36,67,0,0,66
"2","2006-10-02",59,81,0,25,0,0,0,0
"3","2006-10-03",59,81,0,58,46,0,52,0
"4","2006-10-04",59,89,0,16,0,0,0,0
"5","2006-10-05",58,89,17,59,0,44,0,0
"6","2006-10-06",58,75,0,18,50,0,0,100
"7","2006-10-07",60,78,0,73,0,0,0,0
"8","2006-10-08",63,77,0,24,67,0,75,0
"9","2006-10-09",57,76,0,33,0,44,51,0
"10","2006-10-10",57,87,0,24,0,0,0,0
"11","2006-10-11",56,80,0,32,45,84,100,45
"12","2006-10-12",57,92,100,51,47,0,0,0
"13","2006-10-13",58,75,9,18,50,0,0,0
"14","2006-10-14",61,69,0,96,0,0,0,0
"15","2006-10-15",65,71,78,47,0,0,0,0
"16","2006-10-16",59,86,49,16,44,0,49,0
"17","2006-10-17",59,91,24,40,66,0,49,0
"18","2006-10-18",57,82,0,24,0,0,50,0
"19","2006-10-19",56,85,0,33,45,0,0,0
"20","2006-10-20",59,80,9,17,49,0,0,48
"21","2006-10-21",61,61,0,24,0,0,0,0
"22","2006-10-22",64,73,0,80,0,0,0,0
"23","2006-10-23",60,86,0,24,0,0,0,0
"24","2006-10-24",60,86,0,48,0,0,50,0
"25","2006-10-25",59,92,8,32,0,0,0,0
"26","2006-10-26",57,82,0,49,0,0,0,0
"27","2006-10-27",58,84,0,35,0,0,0,0
"28","2006-10-28",60,69,0,58,0,0,0,0
"29","2006-10-29",66,70,0,34,62,0,0,0
"30","2006-10-30",60,81,0,55,0,0,49,0
"31","2006-10-31",58,89,0,32,0,0,50,0
"32","2006-11-01",59,87,0,26,0,0,0,0
"33","2006-11-02",60,96,8,49,0,84,50,0
"34","2006-11-03",58,82,0,51,48,0,0,0
"35","2006-11-04",63,75,0,23,0,0,71,0
"36","2006-11-05",68,74,11,55,61,0,69,0
"37","2006-11-06",62,80,0,31,0,0,0,0
"38","2006-11-07",60,88,0,61,85,0,0,0
"39","2006-11-08",58,84,0,45,42,0,0,0
"40","2006-11-09",60,85,0,47,0,0,0,0
"41","2006-11-10",62,76,0,17,0,0,0,0
"42","2006-11-11",68,71,0,66,61,0,0,0
"43","2006-11-12",76,65,0,32,0,0,0,0
"44","2006-11-13",66,100,0,38,0,0,0,0
"45","2006-11-14",65,89,0,30,42,39,47,0
"46","2006-11-15",63,92,0,15,0,0,0,0
"47","2006-11-16",65,83,0,78,0,0,0,0
"48","2006-11-17",68,91,8,41,0,0,0,0
"49","2006-11-18",74,62,0,100,62,0,0,0
"50","2006-11-19",81,63,0,53,0,0,0,0
"51","2006-11-20",72,80,0,52,0,0,0,41
"52","2006-11-21",72,81,0,60,42,0,0,42
"53","2006-11-22",70,83,0,39,43,81,0,0
"54","2006-11-23",83,81,0,78,48,0,0,0
"55","2006-11-24",75,74,0,26,100,0,0,49
"56","2006-11-25",81,65,11,22,0,0,0,0
"57","2006-11-26",88,67,0,53,60,0,0,0
"58","2006-11-27",80,87,7,51,0,38,46,0
"59","2006-11-28",78,90,8,51,41,38,0,0
"60","2006-11-29",77,80,8,37,0,0,0,0
"61","2006-11-30",75,78,0,23,42,40,47,0
"62","2006-12-01",77,76,8,32,0,42,51,0
"63","2006-12-02",87,61,11,65,61,0,0,0
"64","2006-12-03",94,62,0,21,59,0,0,0
"65","2006-12-04",88,80,8,44,0,38,46,0
"66","2006-12-05",85,69,0,59,0,39,0,0
"67","2006-12-06",84,81,0,75,0,0,0,0
"68","2006-12-07",86,81,8,31,0,0,0,0
"69","2006-12-08",88,75,9,59,0,0,0,0
"70","2006-12-09",94,72,0,55,0,0,0,0
