"","date","Amazon"
"1","2006-10-01",66
"2","2006-10-02",59
"3","2006-10-03",59
"4","2006-10-04",59
"5","2006-10-05",58
"6","2006-10-06",58
"7","2006-10-07",60
"8","2006-10-08",63
"9","2006-10-09",57
"10","2006-10-10",57
"11","2006-10-11",56
"12","2006-10-12",57
"13","2006-10-13",58
"14","2006-10-14",61
"15","2006-10-15",65
"16","2006-10-16",59
"17","2006-10-17",59
"18","2006-10-18",57
"19","2006-10-19",56
"20","2006-10-20",59
"21","2006-10-21",61
"22","2006-10-22",64
"23","2006-10-23",60
"24","2006-10-24",60
"25","2006-10-25",59
"26","2006-10-26",57
"27","2006-10-27",58
"28","2006-10-28",60
"29","2006-10-29",66
"30","2006-10-30",60
"31","2006-10-31",58
"32","2006-11-01",59
"33","2006-11-02",60
"34","2006-11-03",58
"35","2006-11-04",63
"36","2006-11-05",68
"37","2006-11-06",62
"38","2006-11-07",60
"39","2006-11-08",58
"40","2006-11-09",60
"41","2006-11-10",62
"42","2006-11-11",68
"43","2006-11-12",76
"44","2006-11-13",66
"45","2006-11-14",65
"46","2006-11-15",63
"47","2006-11-16",65
"48","2006-11-17",68
"49","2006-11-18",74
"50","2006-11-19",81
"51","2006-11-20",72
"52","2006-11-21",72
"53","2006-11-22",70
"54","2006-11-23",83
"55","2006-11-24",75
"56","2006-11-25",81
"57","2006-11-26",88
"58","2006-11-27",80
"59","2006-11-28",78
"60","2006-11-29",77
"61","2006-11-30",75
"62","2006-12-01",77
"63","2006-12-02",87
"64","2006-12-03",94
"65","2006-12-04",88
"66","2006-12-05",85
"67","2006-12-06",84
"68","2006-12-07",86
"69","2006-12-08",88
"70","2006-12-09",94
"71","2006-12-10",100
"72","2006-12-11",96
"73","2006-12-12",89
"74","2006-12-13",88
"75","2006-12-14",89
"76","2006-12-15",88
"77","2006-12-16",93
"78","2006-12-17",95
"79","2006-12-18",88
"80","2006-12-19",82
"81","2006-12-20",78
"82","2006-12-21",72
"83","2006-12-22",68
"84","2006-12-23",69
"85","2006-12-24",66
"86","2006-12-25",69
"87","2006-12-26",71
"88","2006-12-27",74
"89","2006-12-28",70
"90","2006-12-29",71
"91","2006-12-30",67
"92","2006-12-31",68
"93","2007-01-01",100
"94","2007-01-02",96
"95","2007-01-03",93
"96","2007-01-04",91
"97","2007-01-05",89
"98","2007-01-06",95
"99","2007-01-07",95
"100","2007-01-08",91
"101","2007-01-09",88
"102","2007-01-10",86
"103","2007-01-11",85
"104","2007-01-12",86
"105","2007-01-13",89
"106","2007-01-14",98
"107","2007-01-15",86
"108","2007-01-16",87
"109","2007-01-17",85
"110","2007-01-18",80
"111","2007-01-19",82
"112","2007-01-20",88
"113","2007-01-21",94
"114","2007-01-22",82
"115","2007-01-23",82
"116","2007-01-24",83
"117","2007-01-25",80
"118","2007-01-26",79
"119","2007-01-27",86
"120","2007-01-28",92
"121","2007-01-29",82
"122","2007-01-30",82
"123","2007-01-31",80
"124","2007-02-01",80
"125","2007-02-02",83
"126","2007-02-03",89
"127","2007-02-04",89
"128","2007-02-05",81
"129","2007-02-06",83
"130","2007-02-07",80
