date,Microsoft,Glasses,Phone,Office 10,Band,Hologram,Surface,Office,Silverlight,Outlook,Price
1/1/07,68,0,43,0,0,0,0,61,0,58,29.860001
1/2/07,76,0,58,0,27,0,0,63,0,83,29.809999
1/3/07,79,0,60,0,38,0,0,71,0,99,29.639999
1/4/07,79,0,63,0,74,0,0,76,0,84,29.93
1/5/07,78,0,39,0,52,0,0,69,0,81,29.959999
1/6/07,71,0,17,0,100,0,0,66,0,75,29.66
1/7/07,75,0,62,0,0,0,0,65,0,52,30.700001
1/8/07,77,72,51,0,0,0,100,70,0,83,31.209999
1/9/07,80,0,81,0,0,0,0,71,0,91,31.16
1/10/07,81,0,67,0,23,72,0,75,0,79,31.1
1/11/07,81,0,72,0,24,0,0,73,0,86,31
1/12/07,80,0,58,0,0,0,53,68,0,78,31.110001
1/13/07,74,0,39,0,50,0,0,72,0,65,30.719999
1/14/07,72,100,33,0,66,100,0,65,0,64,30.74
1/15/07,74,0,55,0,0,0,49,67,0,75,31.09
1/16/07,77,0,50,0,0,0,0,72,0,88,30.450001
1/17/07,79,0,73,0,57,0,0,71,0,90,30.6
1/18/07,78,0,65,0,46,0,48,66,0,76,30.530001
1/19/07,77,0,62,0,24,0,0,70,0,85,30.48
1/20/07,72,0,76,0,32,0,0,66,0,62,30.860001
1/21/07,72,0,48,0,47,0,0,73,0,59,30.559999
1/22/07,76,68,45,0,22,0,0,70,0,83,30.190001
1/23/07,82,68,41,0,0,0,47,71,0,92,29.610001
1/24/07,80,69,34,0,22,0,0,71,0,92,29.51
1/25/07,79,70,51,0,23,0,0,72,0,73,29.370001
1/26/07,77,75,83,0,25,0,0,75,0,80,29.26
1/27/07,73,0,33,0,32,0,0,70,0,60,28.98
1/28/07,75,0,37,0,31,0,0,72,0,56,28.940001
1/29/07,85,0,55,0,44,0,0,73,0,72,29.01
1/30/07,100,0,45,0,22,0,47,84,0,84,29.4
1/31/07,95,0,49,0,0,0,0,88,0,87,29.459999
2/1/07,91,0,70,0,23,0,0,100,0,79,28.74
2/2/07,87,73,85,0,60,0,0,87,0,85,28.83
2/3/07,83,0,37,0,64,0,0,90,0,79,29.35
2/4/07,80,0,47,0,47,0,0,94,0,65,29.389999
2/5/07,81,68,41,0,22,0,0,87,0,69,28.9
2/6/07,82,0,44,0,0,0,47,87,0,82,29.07
2/7/07,84,0,41,0,22,0,48,86,0,86,27.870001
2/8/07,79,0,45,0,0,0,47,80,0,81,28.17
2/9/07,78,0,71,0,0,0,0,75,0,78,28.09
2/10/07,76,0,74,0,63,0,66,80,0,68,27.76
2/11/07,75,0,41,0,31,0,0,79,0,56,27.549999
2/12/07,77,0,59,0,33,0,0,75,0,85,27.83
2/13/07,78,0,59,0,33,0,0,76,100,86,27.610001
2/14/07,80,67,60,0,45,0,0,78,0,89,27.32
2/15/07,79,0,66,0,23,71,0,76,0,87,27.290001
2/16/07,78,0,62,0,41,0,0,71,0,86,27.440001
2/17/07,75,0,39,0,0,0,0,79,0,61,26.719999
2/18/07,74,0,38,0,32,0,0,72,0,58,27.4
2/19/07,77,0,63,100,47,0,0,75,0,77,27.280001
2/20/07,81,0,70,0,23,0,0,72,0,81,27.33
2/21/07,79,0,53,0,45,0,48,81,0,84,27.83
2/22/07,79,0,38,0,23,0,0,78,0,83,27.84
2/23/07,78,0,45,0,60,0,0,74,0,90,28.52
2/24/07,72,0,36,0,31,0,0,69,0,73,28.27
2/25/07,73,0,35,0,30,0,64,67,0,59,28.02
2/26/07,77,0,58,0,21,0,0,74,0,74,28.219999
2/27/07,79,0,36,0,50,0,0,76,0,87,27.719999
2/28/07,81,66,48,0,22,0,0,80,0,92,27.639999
3/1/07,80,68,71,0,66,0,46,78,0,89,27.75
3/2/07,76,0,59,0,23,0,99,72,0,94,27.870001
3/3/07,73,0,36,0,30,0,0,75,0,69,27.74
3/4/07,74,93,41,0,0,0,0,75,0,58,27.870001
3/5/07,75,0,79,0,21,0,0,76,0,79,28.5
3/6/07,80,0,89,0,0,0,0,72,0,100,28.549999
3/7/07,79,0,64,0,35,0,0,71,0,89,28.57
3/8/07,81,67,100,0,22,0,0,73,0,96,28.4
3/9/07,82,0,89,0,23,0,0,70,0,83,28.110001
3/10/07,78,0,41,0,61,0,0,69,0,80,28.540001
3/11/07,83,0,51,0,30,0,0,70,0,73,28.610001
3/12/07,79,0,36,0,32,0,0,71,0,95,28.73
3/13/07,78,66,51,0,29,0,90,73,0,88,28.85
3/14/07,76,0,29,0,22,0,0,73,0,88,28.6
3/15/07,77,0,60,0,22,0,0,71,0,84,28.690001
3/16/07,72,69,77,0,23,0,49,67,0,87,29.02
3/17/07,67,0,31,0,0,95,0,68,0,59,28.780001
3/18/07,66,0,59,0,44,0,0,67,0,52,28.790001
3/19/07,72,0,54,0,21,0,0,67,0,76,28.99
3/20/07,73,0,49,0,22,69,47,67,0,69,29.1
3/21/07,75,0,40,90,21,0,0,67,0,78,30.120001
3/22/07,75,0,51,0,64,0,46,71,0,84,29.940001
3/23/07,70,0,42,0,0,0,0,66,0,65,30.4
3/24/07,65,0,20,0,0,0,0,67,0,60,30.610001
3/25/07,65,0,51,0,0,0,0,67,0,57,30.969999
3/26/07,70,63,46,0,21,0,0,68,0,78,30.559999
3/27/07,74,0,71,0,28,0,0,68,0,83,30.709999
3/28/07,74,0,29,0,0,0,0,70,0,85,30.75
3/29/07,74,0,44,0,22,0,0,65,0,77,30.780001
3/30/07,72,0,59,0,23,0,0,67,0,81,30.58
3/31/07,66,96,37,0,31,0,0,70,0,55,35.220001
1/1/08,76,0,77,0,53,0,18,74,8,73,35.369999
1/2/08,87,0,70,82,21,0,42,83,18,95,34.380001
1/3/08,91,0,65,0,27,0,41,88,20,100,34.610001
1/4/08,87,44,67,0,18,0,34,84,21,80,33.450001
1/5/08,82,0,69,0,17,0,35,83,20,72,34.439999
1/6/08,83,0,66,0,26,0,48,84,18,71,34.330002
1/7/08,93,0,64,0,38,0,100,88,24,91,33.91
1/8/08,94,0,93,0,31,0,85,90,20,87,34.389999
1/9/08,97,40,74,0,21,0,82,93,19,97,34
1/10/08,96,0,63,0,13,0,85,93,18,93,33.23
1/11/08,90,42,57,0,0,0,57,89,18,81,33.110001
1/12/08,85,55,56,100,17,0,39,86,23,61,33.009998
1/13/08,85,0,52,0,17,0,49,88,15,68,31.959999
1/14/08,92,0,46,0,24,0,37,92,21,77,31.93
1/15/08,92,0,61,0,12,0,55,97,19,79,33.25
1/16/08,96,39,83,0,12,0,64,100,19,96,32.939999
1/17/08,94,40,71,0,19,0,53,95,18,89,32.720001
1/18/08,91,0,65,0,30,0,51,88,21,86,32.599998
1/19/08,81,0,40,0,100,0,36,89,21,64,32.200001
1/20/08,81,53,71,0,16,0,28,90,16,67,32.599998
1/21/08,89,39,42,0,16,0,50,88,21,93,30.450001
1/22/08,93,0,69,0,18,0,28,92,22,94,30.190001
1/23/08,92,0,60,0,28,0,75,94,33,94,29.07
1/24/08,92,0,72,0,28,54,64,90,31,94,28.52
1/25/08,89,0,65,0,26,0,38,88,28,93,28.120001
1/26/08,82,0,70,100,51,0,34,85,34,59,28.559999
1/27/08,80,53,62,0,22,0,21,85,28,55,28.209999
1/28/08,89,38,78,0,12,0,40,87,22,78,28.34
1/29/08,92,0,47,0,31,0,38,92,23,92,28.959999
1/30/08,92,0,86,0,12,0,53,90,23,87,28.5
1/31/08,92,0,89,0,12,0,54,98,25,88,28.42
2/1/08,100,0,70,0,26,0,43,91,26,89,28.17
