date,Amazon,Amazon Error,Amazon Kindle,Amazon Order,Amazon Recall,Amazon Sucks,Amazon Echo,Price
10/1/06,66,0,0,25,0,0,65,49.119999
10/2/06,59,0,0,58,0,52,81,50.09
10/3/06,59,0,0,16,0,0,81,52.889999
10/4/06,59,44,17,59,0,0,89,54.150002
10/5/06,58,0,0,18,100,0,89,54.91
10/6/06,58,0,0,73,0,0,75,55.700001
10/7/06,60,0,0,24,0,75,78,57.860001
10/8/06,63,44,0,33,0,51,77,58.060001
10/9/06,57,0,0,24,0,0,76,58.299999
10/10/06,57,84,0,32,45,100,87,59.91
10/11/06,56,0,100,51,0,0,80,58.549999
10/12/06,57,0,9,18,0,0,92,59.91
10/13/06,58,0,0,96,0,0,75,59.689999
10/14/06,61,0,78,47,0,0,69,59.59
10/15/06,65,0,49,16,0,49,71,59.349998
10/16/06,59,0,24,40,0,49,86,54.029999
10/17/06,59,0,0,24,0,50,91,54.32
10/18/06,57,0,0,33,0,0,82,54.509998
10/19/06,56,0,9,17,48,0,85,54.82
10/20/06,59,0,0,24,0,0,80,56.73
10/21/06,61,0,0,80,0,0,61,56.689999
10/22/06,64,0,0,24,0,0,73,55.830002
10/23/06,60,0,0,48,0,50,86,54.43
10/24/06,60,0,8,32,0,0,86,56.740002
10/25/06,59,0,0,49,0,0,92,56.860001
10/26/06,57,0,0,35,0,0,82,56.740002
10/27/06,58,0,0,58,0,0,84,54.990002
10/28/06,60,0,0,34,0,0,69,54.310001
10/29/06,66,0,0,55,0,49,70,51.98
10/30/06,60,0,0,32,0,50,81,52.23
10/31/06,58,0,0,26,0,0,89,54.130001
11/1/06,59,84,8,49,0,50,87,54.799999
11/2/06,60,0,0,51,0,0,96,52.450001
11/3/06,58,0,0,23,0,71,82,50.360001
11/4/06,63,0,11,55,0,69,75,48.5
11/5/06,68,0,0,31,0,0,74,49.529999
11/6/06,62,0,0,61,0,0,80,48.849998
11/7/06,60,0,0,45,0,0,88,48.580002
11/8/06,58,0,0,47,0,0,84,51.330002
11/9/06,60,0,0,17,0,0,85,52.470001
11/10/06,62,0,0,66,0,0,76,52.959999
11/11/06,68,0,0,32,0,0,71,53.970001
11/12/06,76,0,0,38,0,0,65,54.650002
11/13/06,66,39,0,30,0,47,100,53.93
11/14/06,65,0,0,15,0,0,89,51.509998
11/15/06,63,0,0,78,0,0,92,51.799999
11/16/06,65,0,8,41,0,0,83,51.560001
11/17/06,68,0,0,100,0,0,91,51.080002
11/18/06,74,0,0,53,0,0,62,49.34
11/19/06,81,0,0,52,41,0,63,49.200001
11/20/06,72,0,0,60,42,0,80,50.799999
11/21/06,72,81,0,39,0,0,81,50.990002
11/22/06,70,0,0,78,0,0,83,50.41
11/23/06,83,0,0,26,49,0,81,49.5
11/24/06,75,0,11,22,0,0,74,47.580002
11/25/06,81,0,0,53,0,0,65,48.75
11/26/06,88,38,7,51,0,46,67,49.240002
11/27/06,80,38,8,51,0,0,87,49.889999
11/28/06,78,0,8,37,0,0,90,52.48
11/29/06,77,40,0,23,0,47,80,53.32
11/30/06,75,42,8,32,0,51,78,53.470001
12/1/06,77,0,11,65,0,0,76,53.470001
12/2/06,87,0,0,21,0,0,61,52.830002
12/3/06,94,38,8,44,0,46,62,52.619999
12/4/06,88,39,0,59,0,0,80,51.900002
12/5/06,85,0,0,75,0,0,69,53.27
12/6/06,84,0,8,31,0,0,81,53.029999
12/7/06,86,0,9,59,0,0,81,51.900002
12/8/06,88,0,0,55,0,0,75,50.240002
12/9/06,94,0,0,21,0,66,72,51.59
12/10/06,100,77,8,66,0,0,55,52.950001
12/11/06,96,38,0,52,0,46,79,54.91
12/12/06,89,39,15,82,0,0,80,55.799999
